RPM,Hp,Nm,afr
2782.1156237054256,1.215,3.016,15.314
2802.290882483857,1.906,4.687,15.233
2831.0789466053266,2.622,6.393,15.082
2879.850104292261,3.303,7.98,14.896
2919.146483517045,3.897,9.323,14.885
2961.319747501847,4.374,10.348,14.769
2996.131974750185,4.721,11.033,14.815
3037.856823537341,4.944,11.403,14.746
3084.0972970846124,5.058,11.508,14.606
3123.1406078954296,5.084,11.408,14.514
3172.937290251299,5.042,11.163,14.398
3212.3362219429773,4.953,10.828,14.432
3250.695378568236,4.845,10.462,14.2
3292.7749202930845,4.745,10.128,14.131
3323.7534127091953,4.688,9.89,14.026
3357.4461628006648,4.703,9.804,13.899
3395.234701265902,4.811,9.908,13.818
3433.4328185685167,5.019,10.208,13.713
3479.3206189673338,5.317,10.679,13.713
3518.328662463306,5.681,11.267,13.562
3568.1218180876904,6.079,11.905,13.539
3611.3447597124514,6.479,12.526,13.493
3669.20813036218,6.854,13.08,13.435
3717.0624560957085,7.193,13.542,13.516
3775.3889651563136,7.493,13.913,13.458
3827.1139673371613,7.761,14.207,13.504
3882.0031814362655,8.008,14.447,13.493
3933.384454120964,8.238,14.648,13.481
3992.0636578766853,8.452,14.814,13.516
4047.648292133278,8.644,14.939,13.771
4110.572194652422,8.81,15.017,13.887
4166.581298785357,8.949,15.048,13.771
4221.89892307967,9.067,15.042,13.783
4277.147399390121,9.174,15.015,13.98
4336.2133235084175,9.277,14.982,13.945
4388.012267195034,9.379,14.949,13.934
4446.733238050949,9.477,14.914,14.05
4506.146411623791,9.567,14.869,14.026
4561.804442862096,9.649,14.814,14.084
4617.086959866947,9.73,14.761,13.957
4672.331925448451,9.829,14.732,14.05
4731.397498493854,9.963,14.753,14.108
4779.37204446695,10.145,14.841,14.003
4837.710575551512,10.376,14.997,14.05
4900.909867753451,10.648,15.207,13.968
4960.770873460899,10.944,15.445,14.015
5016.473687912662,11.247,15.687,13.957
5079.4094084513235,11.548,15.918,13.91
5139.244056992441,11.845,16.135,13.76
5202.592960940037,12.146,16.348,13.736
5266.293290428281,12.466,16.578,13.725
5330.028762470591,12.824,16.849,13.62
5397.592111374538,13.244,17.187,13.62
5461.713885358417,13.745,17.617,13.586
5529.315864456521,14.347,18.154,13.562
5604.914589278514,15.061,18.81,13.551
5681.312988672894,15.893,19.581,13.504
5757.791355524514,16.829,20.446,13.528
5838.10208172809,17.837,21.362,13.586
5922.620406473092,18.866,22.269,13.62
6019.032578890935,19.856,23.099,13.667
6105.161048257366,20.765,23.804,13.609
6201.734235137353,21.581,24.374,13.69
6295.527531162461,22.326,24.836,13.725
6392.867200708315,23.035,25.231,13.76
6486.73714500001,23.715,25.578,13.713
6584.084479372523,24.331,25.85,13.806
6681.779552753117,24.826,25.996,13.771
6790.982487853216,25.184,26.003,13.829
6889.863121306568,25.483,25.944,13.852
6980.062799382781,25.896,25.983,13.899
7080.867469739978,26.598,26.284,13.91
7178.90827671904,27.633,26.887,13.968
7276.67269736029,28.828,27.631,13.91
7401.180017611384,29.836,28.197,13.968
7505.415452186067,30.306,28.264,13.899
7622.921148618041,30.074,27.694,14.003
7711.158970385884,29.246,26.595,13.91
7800.294367293546,28.115,25.25,14.003
7889.51952171519,26.986,23.944,14.003
7974.929289282,26.034,22.84,14.026
8059.957518163329,25.3,21.967,13.899
8141.123230569874,24.776,21.304,13.934
8218.078328722711,24.469,20.842,13.934
8290.788002843943,24.376,20.566,14.05
8366.897497168247,24.411,20.405,14.038
8450.995698725324,24.409,20.221,13.91
8524.419683186981,24.207,19.883,13.945
8596.776245939094,23.738,19.338,13.876
8665.201703914025,23.049,18.629,13.922
8733.234051411233,22.333,17.913,13.934
8797.402725254438,22.0,17.511,14.061
8865.009394338475,22.544,17.791,13.876
8936.784225552829,24.065,18.82,13.945
8997.502785161516,25.769,19.98,13.934
9106.832431490657,26.196,20.162,13.957
9167.48211000459,24.296,18.584,13.887
9219.43942913077,20.47,15.569,13.934
9259.05442449948,16.793,12.7,13.968
9293.61082488621,15.083,11.34,13.829
9342.958816199669,15.736,11.769,13.852
9397.610329212035,16.928,12.606,13.783
9445.143469181829,17.616,13.058,13.771
9488.140409241129,15.223,11.247,13.678
9511.56191627822,10.466,7.697,13.632
