RPM,Hp,Nm,afr
1759.340860542346,3.624,13.484,12.959
1888.0962482163966,7.21,24.824,12.924
2079.35016536218,11.411,36.812,12.959
2283.610692211894,15.568,47.064,12.878
2498.63133949146,19.137,53.99,12.716
2720.133404219416,21.935,57.43,12.565
2942.2836106922123,24.178,58.482,12.449
3149.6337664746266,26.297,58.71,12.449
3371.7201334042197,28.647,59.258,12.298
3608.7936349620436,31.289,60.388,12.17
3846.0144986313394,33.974,61.612,11.95
4087.3041525658373,36.311,62.201,11.927
4318.189874716043,37.982,61.683,12.17
4545.332500985119,38.866,60.022,12.252
4755.884601449863,39.004,57.487,12.321
4959.37224392877,38.506,54.397,12.333
5148.63992709558,37.547,51.063,12.205
5324.323452169019,36.37,47.801,12.159
5486.486399270956,35.047,44.673,12.089
5641.891883170338,33.45,41.494,11.904
5784.459458587304,31.564,38.215,11.788
5906.824324237109,29.453,34.888,11.672
6024.466216207496,27.164,31.562,11.579
6125.419594593724,24.475,27.967,11.393
6211.1906081080215,21.44,24.167,11.347
