RPM,Hp,Nm,afr
2041.8910023284425,3.833,12.545,18.075
2177.2084908145616,7.677,23.163,18.075
2392.6792978349185,12.319,34.645,18.075
2629.628040586816,17.119,44.85,18.075
2886.6747154160225,21.482,52.221,18.075
3151.7145629543443,25.091,56.359,18.086
3425.0329521403096,27.989,57.952,18.075
3690.2041262389616,30.472,58.207,18.075
3954.5605788288817,32.854,58.155,18.075
4221.827249018622,35.236,58.209,17.924
4501.351699971115,37.464,58.185,15.79
4773.126859747803,39.304,57.718,14.769
5029.168641653449,40.691,56.708,14.177
5283.637085771992,41.753,55.365,13.771
5527.477281984402,42.591,53.9,13.354
5770.254653406196,43.068,52.228,13.006
6005.446517972198,43.114,50.28,12.634
6215.946313847081,42.487,47.826,12.426
6419.489368226813,40.942,44.638,12.124
6599.899075326836,37.097,39.409,12.031
6733.120101438501,29.782,31.019,11.857
6801.788464437478,19.321,19.845,11.927
6807.15945586203,5.612,5.773,11.938
