RPM,Hp,Nm,afr
4707.078161763069,0.723,1.085,18.075
4708.68249972061,1.531,2.217,18.086
4777.197363896111,2.534,3.586,18.04
4920.757711073155,3.632,5.039,18.075
5080.366910347822,4.703,6.395,18.075
5250.1252986297195,5.638,7.505,18.075
5395.265694419934,6.374,8.285,18.075
5563.5772023533855,6.901,8.736,18.075
5725.661517703693,7.254,8.924,18.075
5895.667417593154,7.49,8.943,17.889
6057.921172139062,7.665,8.882,17.251
6227.944015948085,7.821,8.804,16.822
6390.199464885949,7.982,8.742,16.23
6560.222478134165,8.158,8.707,15.894
6731.022247813416,8.355,8.697,15.662
6876.266781743368,8.572,8.709,15.21
7044.588703490793,8.803,8.733,14.92
7215.218364019965,9.036,8.759,14.746
7394.623102224782,9.258,8.774,14.688
7540.728133007289,9.456,8.767,14.653
7717.680408237437,9.624,8.734,14.525
7889.173104114884,9.762,8.675,14.456
8025.942626867186,9.873,8.596,14.456
8210.505655091782,9.959,8.501,14.328
8348.5822110788,10.022,8.392,14.247
8524.731638829398,10.063,8.273,14.166
8661.966834769015,10.087,8.146,14.096
8829.487822717407,10.103,8.019,13.98
8957.315870879336,10.117,7.896,13.899
9115.351840252491,10.124,7.774,13.806
9250.775690354363,10.113,7.644,13.62
9401.026936124043,10.062,7.494,13.574
9544.216617663036,9.959,7.312,13.551
9661.067231386558,9.801,7.099,13.377
9800.916849720936,9.605,6.866,13.319
9917.433457123992,9.401,6.636,13.214
10048.705371028855,9.225,6.432,13.168
10147.275600394025,9.101,6.27,13.052
10276.752876495098,9.031,6.15,12.994
10383.687945877356,8.989,6.054,12.936
10496.913098385205,8.932,5.953,12.878
10610.767259205608,8.821,5.821,12.739
10716.1400170598,8.64,5.647,12.6
10820.664634617373,8.409,5.445,12.623
10908.015830550345,8.175,5.245,12.553
11010.738291915794,7.989,5.08,12.484
11097.909272229554,7.883,4.969,12.426
11192.069408235613,7.856,4.91,12.379
11286.928459810902,7.866,4.877,12.321
11373.313099145647,7.852,4.83,12.31
11467.394601053806,7.76,4.738,12.298
11553.701485421836,7.584,4.597,12.275
11639.230908035854,7.362,4.431,12.24
11707.593976879534,7.156,4.276,12.159
11791.32901794112,7.007,4.159,12.194
11868.056952427021,6.907,4.072,12.078
11944.08417625536,6.791,3.98,12.124
12011.497025220475,6.584,3.837,12.136
12086.59274049673,6.278,3.639,12.147
12145.368134809167,5.923,3.415,12.194
12202.511497025222,5.615,3.221,12.112
12259.491656031636,5.48,3.127,12.101
12324.999798514555,5.533,3.142,12.089
12374.27213175019,5.598,3.164,12.078
12447.553795453498,5.441,3.062,12.089
12489.059177013705,5.047,2.829,12.17
12535.931234157068,4.663,2.603,12.136
12574.795655061274,3.352,1.867,12.112
12578.682097151695,1.378,0.766,12.147
