RPM,Hp,Nm,afr
3384.3177686926647,1.858,3.681,18.075
3525.4570933249624,2.547,4.946,18.075
3650.646975155281,3.139,5.969,18.063
3799.874824097807,3.589,6.665,18.075
3908.7849507642118,3.895,7.04,18.075
4047.8405203928774,4.095,7.172,18.075
4189.910634317769,4.244,7.181,18.075
4306.6492912798785,4.398,7.176,18.075
4429.399106343177,4.595,7.232,18.075
4586.927252406469,4.847,7.373,18.075
4730.844623974824,5.144,7.579,18.075
4890.489525688622,5.465,7.811,18.075
5034.618572822027,5.785,8.028,18.075
5194.284642092329,6.085,8.201,18.075
5355.504413576321,6.355,8.319,18.075
5508.335251484214,6.595,8.39,18.052
5668.8714998319665,6.818,8.43,17.506
5838.722593021171,7.043,8.466,16.973
6000.960866897054,7.295,8.524,16.022
6153.8935550441365,7.589,8.623,15.592
6314.4399884158065,7.925,8.761,14.873
6484.292100107404,8.286,8.919,14.583
6663.619083428462,8.642,9.064,14.525
6843.893553912466,8.962,9.168,14.49
7032.807076910233,9.229,9.213,14.386
7188.407289969507,9.444,9.202,14.316
7349.220475832393,9.616,9.149,14.282
7536.1878703680495,9.761,9.072,14.293
7708.682078176046,9.885,8.984,14.282
7862.640359716338,9.993,8.887,14.212
8048.922263819734,10.086,8.785,14.177
8187.170707394632,10.167,8.679,14.119
8371.881627701488,10.241,8.573,14.015
8509.97297289673,10.311,8.469,13.852
8686.123879568155,10.375,8.366,13.748
8823.359223399855,10.426,8.26,13.562
8999.424529934922,10.461,8.147,13.388
9128.107009955518,10.477,8.025,13.214
9294.772726312007,10.472,7.893,13.11
9431.059551112214,10.446,7.752,12.89
9564.30848675679,10.393,7.598,12.716
9722.886544878213,10.314,7.433,12.588
9858.364603854909,10.216,7.26,12.518
9974.444055322201,10.112,7.091,12.368
10114.216557430955,10.02,6.935,12.31
10239.269757008919,9.947,6.798,12.252
10371.395330131272,9.885,6.672,12.182
10487.139533013127,9.8,6.538,12.089
10601.245598870933,9.654,6.37,12.066
10732.27645862127,9.426,6.155,11.927
10839.366886368456,9.143,5.91,11.822
10935.518967117858,8.871,5.678,11.753
11039.12151696495,8.679,5.501,11.672
11143.46911372181,8.581,5.388,11.66
11239.346911372182,8.523,5.304,11.637
11342.92203290937,8.419,5.196,11.544
11438.722583037772,8.229,5.039,11.498
11525.201372227828,7.986,4.852,11.451
11610.74798532405,7.767,4.682,11.498
11696.201380810884,7.621,4.559,11.382
11781.645454536785,7.531,4.473,11.416
11867.088596086589,7.462,4.402,11.393
11943.987340621316,7.424,4.35,11.358
12028.575949252005,7.428,4.322,11.405
12105.389240494822,7.404,4.28,11.44
12189.969303796319,7.194,4.133,11.498
12258.237436708747,6.849,3.912,11.463
12324.874376582266,6.851,3.888,11.463
12391.3481971519,5.13,2.902,11.59
12397.995579208864,2.265,1.277,11.579
