RPM,Hp,Nm,afr
2744.0642063382265,1.413,3.32,10.326
3055.9500447948976,2.409,5.218,10.175
3417.843326627142,3.519,7.028,10.094
3793.797755481506,4.634,8.491,9.99
4211.93011111862,5.672,9.486,9.862
4643.340662118573,6.599,10.044,9.758
5089.669636681657,7.405,10.276,9.688
5514.839446889642,8.093,10.301,9.723
5956.014146031247,8.662,10.197,9.769
6385.198730039367,9.105,9.997,9.792
6786.003094480448,9.405,9.704,9.943
7170.378832937977,9.545,9.317,10.024
7557.641910139436,9.529,8.848,10.233
7899.891707792469,9.388,8.332,10.488
8210.458969436966,9.165,7.81,10.546
8517.857977480611,8.907,7.316,10.651
8815.879757479604,8.676,6.893,10.674
9076.722203935882,8.538,6.575,10.546
9338.376918380167,8.487,6.349,10.419
9609.173262307817,8.441,6.148,10.384
9858.232762472397,8.29,5.892,10.326
10082.467571549256,8.118,5.633,10.291
10299.689710175062,7.633,5.189,10.28
10489.029373702071,6.516,4.357,10.419
10589.506964215847,4.602,3.043,10.407
10617.67552863635,1.925,1.267,10.407
