RPM,Hp,Nm,afr
2026.76602654969,0.911,2.813,9.63
2304.6900254737616,1.686,4.686,9.734
2667.7173246950274,2.598,6.556,9.7
3057.3757593151404,3.569,8.135,9.7
3463.2879115019846,4.546,9.286,9.734
3870.8254354455016,5.512,10.036,9.816
4323.827509987504,6.458,10.498,9.862
4794.966643616201,7.367,10.776,9.908
5281.5100871804125,8.209,10.919,9.885
5733.35235099992,8.956,10.94,10.059
6190.784899529523,9.578,10.834,10.222
6639.716073845572,10.043,10.599,10.709
7074.206506713417,10.33,10.239,11.115
7493.662261409598,10.446,9.786,11.347
7866.312534865792,10.435,9.288,11.846
8229.752058855709,10.343,8.791,12.054
8583.210105214432,10.21,8.323,12.286
8913.018997098625,10.044,7.886,12.542
9217.811966823956,9.819,7.452,12.727
9511.04294164884,9.476,6.976,12.669
9784.996911614551,9.0,6.448,12.797
10020.781570356088,8.809,6.14,12.75
10257.27949931749,8.429,5.742,12.832
10489.318553958597,7.043,4.717,13.017
10575.945278214653,5.185,3.43,13.064
10634.44016540536,2.677,1.76,13.133
