RPM,Hp,Nm,afr
2673.636318730664,0.522,1.388,9.595
2753.9175712409983,1.283,3.006,9.618
3070.525985312019,2.321,4.974,9.63
3441.951927390263,3.53,6.959,9.711
3832.4502262960737,4.787,8.643,9.642
4274.687975649742,5.988,9.85,9.63
4722.099670048196,7.075,10.57,9.688
5197.20996700482,8.027,10.903,9.676
5661.499520190415,8.835,10.973,9.676
6129.237200341191,9.492,10.871,9.827
6574.668686477074,9.981,10.638,10.222
7004.2789491846215,10.297,10.295,10.604
7432.307089549335,10.456,9.871,11.08
7810.344802914666,10.492,9.403,11.672
8183.383473580059,10.43,8.919,11.88
8537.801434606328,10.282,8.43,12.205
8872.23651929956,10.069,7.947,12.518
9177.492108305796,9.844,7.504,12.6
9470.769345058769,9.606,7.094,12.762
9753.788343901853,9.282,6.663,12.774
10017.660713584817,9.069,6.335,12.832
10247.907010955798,8.654,5.904,12.89
10483.851103780144,7.628,5.104,13.052
10611.640143935061,5.738,3.79,13.017
10669.721061373373,3.036,1.988,13.075
