RPM,Hp,Nm,afr
4033.440691397774,2.033,3.307,18.075
4303.344069139778,3.079,4.808,18.075
4587.477264056835,4.105,6.15,18.075
4873.033440691398,5.011,7.179,18.075
5184.446201211998,5.748,7.838,18.075
5502.730334406915,6.331,8.178,18.156
5804.558747726406,6.816,8.312,16.683
6109.027303344071,7.275,8.369,15.72
6426.617016048694,7.757,8.435,15.163
6758.375987319157,8.273,8.538,14.908
7100.12331301763,8.802,8.657,14.699
7438.583759873192,9.307,8.751,14.746
7772.42980455875,9.751,8.786,14.85
8097.242980455876,10.113,8.746,14.757
8429.724298045589,10.382,8.632,14.746
8750.115286947417,10.561,8.459,14.769
9065.011528694742,10.663,8.245,14.664
9362.21543858376,10.704,8.006,14.409
9649.078686715518,10.695,7.754,14.212
9934.907868671553,10.629,7.487,14.015
10199.205072581442,10.49,7.195,13.748
10465.63479297243,10.259,6.866,13.597
10710.84919358296,9.931,6.498,13.4
10932.513490786869,9.525,6.103,13.226
11138.965634792972,9.068,5.699,13.064
11335.32513490787,8.589,5.303,12.913
11522.103942062216,8.112,4.928,12.704
11695.067537063365,7.658,4.585,12.518
11845.221039420623,7.241,4.277,12.426
11993.093532513492,6.869,4.007,12.275
12136.452210394209,6.548,3.776,12.414
12275.07379246799,6.29,3.588,12.46
12400.364522103942,6.117,3.452,12.495
12515.750737924684,6.035,3.371,12.588
12655.860788078186,6.014,3.326,12.634
12777.01465023639,5.987,3.28,12.832
12896.272893595069,5.892,3.198,12.948
13015.341575073795,5.742,3.09,13.006
13125.819871793097,5.601,2.987,13.064
13222.581987179312,5.432,2.873,13.098
13339.401055860792,5.095,2.675,13.075
13419.654391300368,4.441,2.318,13.145
13479.108296272896,3.58,1.859,13.203
13523.625115341574,2.659,1.376,13.284
13553.79108296273,1.783,0.92,13.365
13565.379108296278,0.927,0.479,13.504
