RPM,Hp,Nm,afr
5556.036979413656,-0.007,0.051,18.075
5561.317983655652,0.647,0.841,18.075
5578.9889412227085,1.793,2.165,18.168
5756.4703226937,3.347,3.883,18.075
6078.504175126513,5.08,5.697,18.063
6414.99327465551,6.713,7.268,18.075
6740.070756036981,8.034,8.367,18.075
7076.864218460842,8.969,8.944,18.075
7419.1149932746575,9.572,9.109,18.075
7757.625785041751,9.964,9.039,18.075
8091.476864218462,10.252,8.882,18.063
8429.147686421848,10.497,8.718,18.075
8750.057625785043,10.71,8.56,18.052
9065.005762578507,10.877,8.393,18.075
9375.07200482928,10.976,8.194,18.075
9680.364343340072,10.995,7.957,18.075
9963.750720048292,10.933,7.682,18.075
10244.946500576258,10.791,7.377,18.075
10500.208935771912,10.567,7.042,18.075
10757.16375072005,10.257,6.677,18.075
10992.859232214862,9.872,6.29,18.075
11205.000208935771,9.44,5.896,18.075
11410.50002089358,8.977,5.506,17.182
11602.47857351793,8.499,5.128,15.326
11780.247857351795,8.051,4.784,14.316
11943.739071449469,7.687,4.504,13.748
12101.516764287806,7.418,4.288,12.994
12263.008819285924,7.209,4.116,12.774
12407.729453357164,7.063,3.984,12.658
12555.05865962143,7.19,4.005,12.507
12702.648723105005,6.469,3.571,12.437
12794.550586596215,5.214,2.851,12.507
