RPM,Hp,Nm
566.2921348314608,4.083,46.917
784.7191011235956,4.919,47.318
998.6966292134832,5.582,44.796
1212.2292134831464,6.032,40.265
1420.6611235955058,6.271,34.872
1623.526786516854,6.337,29.664
1770.2178471910117,6.296,25.358
1906.2352678651687,6.223,22.265
2031.0729649887642,6.185,20.345
2159.8488695325846,6.232,19.357
2283.9624150431464,6.387,18.99
2412.665904425663,6.644,18.971
2541.8283881953753,6.979,19.1
2676.0929511790887,7.359,19.254
2805.8115423089207,7.749,19.366
2930.0193564780834,8.119,19.4
3053.6760929511797,8.448,19.338
3182.3339014299495,8.721,19.17
3311.4918171092877,8.927,18.89
3435.643563733401,9.062,18.503
3554.2385136767107,9.129,18.021
3662.165424401379,9.133,17.467
3774.081710979464,9.088,16.87
3881.34075536761,9.008,16.259
3983.0778957614802,8.907,15.658
4084.262845755923,8.797,15.086
4175.280217159862,8.686,14.553
4270.337010480032,8.578,14.062
4350.629206665981,8.477,13.611
4449.669662239631,8.381,13.195
4530.36022465093,8.284,12.802
4604.15961797071,8.179,12.418
4687.3822539319035,8.059,12.034
4766.491034381955,7.925,11.648
4840.132249505611,7.79,11.276
4913.226708096629,7.675,10.947
4976.154131483821,7.605,10.69
5048.177210901191,7.594,10.523
5116.053676146299,7.635,10.434
5183.515479974181,7.704,10.388
5255.991997435621,7.763,10.336
5323.913806485135,7.781,10.233
5391.380144693458,7.744,10.064
5453.744756042381,7.658,9.836
5515.599194705362,7.548,9.584
5577.40261609975,7.445,9.346
5639.20093576728,7.377,9.16
5695.942565486841,7.364,9.045
5757.234705986887,7.407,9.002
5813.925717789701,7.487,9.005
5875.212796498071,7.569,9.013
5936.959481896998,7.614,8.978
5993.6959481897,7.595,8.872
6054.9875723470595,7.517,8.699
6106.6223527403245,7.41,8.497
6162.347628532459,7.322,8.32
6213.425774089202,7.292,8.211
6269.095386397685,7.327,8.177
6325.224145381342,7.398,8.186
6376.3426392572355,7.455,8.18
6432.016286397634,7.454,8.113
6488.145448864483,7.383,7.972
6534.207803313415,7.267,7.785
6584.319656735836,7.144,7.594
6634.836460055607,7.038,7.426
6680.337578589831,6.947,7.278
6730.393308420781,6.87,7.147
6775.848319606123,6.826,7.052
6820.843258926905,6.84,7.018
6865.79219106123,6.899,7.03
6915.79270225219,6.941,7.025
6961.242191573534,6.902,6.942
7006.236578707915,6.767,6.764
7046.12927584832,6.559,6.517
7090.567983764608,6.466,6.385
7130.405112983203,6.633,6.507
7174.8382641073085,6.785,6.616
7224.787197197248,6.772,6.567
7260.119169157928,6.974,6.719
7304.101804556244,5.738,5.507
7318.612427646636,3.541,3.384
