RPM,Hp,Nm
3134.3008795261553,3.127,6.818
3205.56491941329,4.217,9.055
3293.590199806498,5.16,10.905
3373.179244699751,5.885,12.218
3456.9808458182893,6.376,12.975
3541.203702559357,6.664,13.264
3630.5248646379587,6.813,13.242
3720.3558572503125,6.901,13.084
3805.181653140762,7.002,12.943
3884.4507495837393,7.167,12.922
3968.2203558572514,7.423,13.063
4052.440013113815,7.766,13.352
4146.817035019247,8.172,13.738
4252.322152940128,8.604,14.151
4348.827720911991,9.027,14.529
4444.433333888953,9.417,14.833
4545.005131141705,9.764,15.049
4646.073546822036,10.073,15.19
4747.191624345126,10.357,15.283
4853.370847827771,10.633,15.355
4944.88764658053,10.911,15.426
5060.219101736704,11.199,15.508
5152.651123656817,11.5,15.603
5268.074101129728,11.814,15.711
5365.571455056794,12.14,15.827
5471.388606179837,12.469,15.942
5583.0939167977585,12.793,16.045
5685.275683814607,13.101,16.123
5791.561276246629,13.383,16.168
5908.36961077073,13.64,16.181
6011.061680178197,13.879,16.172
6112.3421230740005,14.115,16.158
6223.593762869198,14.361,16.154
6330.786342579056,14.624,16.17
6437.573016280378,14.907,16.207
6544.319099380847,15.205,16.258
6656.117303196513,15.514,16.319
6763.364539308415,15.829,16.383
6870.1566786499425,16.145,16.445
6981.959488089714,16.452,16.495
7089.207184764027,16.74,16.525
7201.055549937077,17.002,16.529
7313.363981959999,17.241,16.512
7420.6622408926305,17.467,16.482
7522.403302740948,17.691,16.45
7638.75718420668,17.916,16.421
7746.459988083589,18.135,16.388
7853.297684201617,18.336,16.342
7960.048869543759,18.512,16.278
8071.847583583589,18.671,16.2
8174.038690942629,18.827,16.121
8280.32521740887,18.989,16.05
8387.02128578583,19.156,15.987
8493.758308353863,19.323,15.927
8595.443246565725,19.489,15.868
8706.735335892528,19.665,15.818
8803.819601004985,19.859,15.783
8909.595443246566,20.057,15.754
9016.240443201063,20.228,15.705
9117.916179151569,20.339,15.615
9224.151168476956,20.395,15.486
9320.729723589267,20.439,15.349
9421.398815055558,20.519,15.242
9522.476960157243,20.626,15.159
9623.596010622467,20.688,15.049
9719.662971848764,20.642,14.866
9820.280903926448,20.517,14.631
9911.241573538713,20.402,14.407
10001.236516904435,20.281,14.186
10096.191067420781,19.944,13.826
10186.585398876912,19.134,13.157
10261.355169101174,17.815,12.159
10329.506303426973,16.194,10.976
10391.93939438764,14.553,9.802
10448.744501236519,13.399,8.973
10499.930629898934,12.345,8.226
10550.554860742703,10.809,7.174
10580.898182703484,8.429,5.578
10599.101054225406,5.279,3.486
