RPM,Hp,Nm
3221.461708001713,1.693,3.624
3262.557129704282,2.255,4.791
3299.029685573168,2.758,5.818
3339.6632425299204,3.165,6.623
3380.7128995954577,3.456,7.17
3417.180879000642,3.638,7.473
3462.4372659822566,3.73,7.579
3503.949206050281,3.765,7.559
3545.086701426946,3.772,7.48
3581.563464663243,3.78,7.4
3617.5741546855033,3.804,7.355
3662.784812728825,3.854,7.362
3704.2921799030196,3.93,7.42
3750.052505661535,4.029,7.523
3791.61483960725,4.148,7.658
3828.134086700451,4.282,7.816
3878.0188881220997,4.427,7.988
3924.616957305361,4.58,8.168
3966.26306559355,4.736,8.348
4016.6605531346977,4.892,8.521
4067.9331786011417,5.042,8.68
4114.670030188881,5.184,8.818
4160.953304388751,5.316,8.936
4221.061083863534,5.438,9.032
4264.0581631808745,5.551,9.11
4314.590747824937,5.657,9.174
4370.500170672906,5.756,9.223
4413.077414327565,5.845,9.257
4472.814590747826,5.921,9.272
4520.3978974309475,5.985,9.267
4576.012392482821,6.038,9.246
4623.183431029104,6.084,9.215
4678.756699267294,6.133,9.187
4721.300327460976,6.192,9.173
4781.034142335139,6.266,9.183
4819.370537521186,6.358,9.216
4878.683629094584,6.462,9.268
4930.847814964253,6.573,9.328
4982.297110263549,6.681,9.384
5038.298204177041,6.783,9.429
5085.507902609485,6.873,9.457
5141.085036836292,6.952,9.468
5192.875626971301,7.018,9.462
5239.664275025897,7.072,9.44
5295.199304214919,7.114,9.403
5351.608971517382,7.144,9.353
5403.482814959959,7.167,9.293
5450.279788345311,7.186,9.231
5496.569074724943,7.209,9.174
5552.054167746468,7.242,9.131
5603.83555376095,7.288,9.105
5650.623281403492,7.345,9.094
5701.534930880076,7.409,9.091
5752.858972540063,7.468,9.085
5804.224253418391,7.514,9.062
5850.970370547319,7.537,9.014
5901.877858972541,7.533,8.936
5953.201484527391,7.505,8.831
5999.943436123973,7.46,8.708
6046.227220324727,7.408,8.579
6092.465187785899,7.36,8.457
6138.6985735731105,7.324,8.351
6180.3082135216955,7.302,8.264
6230.702054228883,7.294,8.194
6277.351027340697,7.294,8.136
6319.002226021741,7.296,8.081
6360.153647259709,7.294,8.024
6405.8783784246025,7.285,7.96
6452.060440582187,7.271,7.89
6498.2882358390425,7.254,7.82
6535.274029063357,7.241,7.754
6575.958909755652,7.233,7.695
6621.636986865977,7.228,7.64
6663.191095946872,7.216,7.58
6704.332808224826,7.189,7.505
6745.433280822483,7.136,7.406
6786.529629452113,7.056,7.281
6827.625565684937,6.956,7.136
6859.47488533562,6.845,6.982
6899.64611867055,6.737,6.834
6940.6495433739055,6.643,6.703
6972.489611871638,6.567,6.592
7008.03663242004,6.508,6.499
7043.954348173514,6.46,6.418
7079.909133447489,6.416,6.344
7115.867625673516,6.375,6.273
7147.203200923515,6.336,6.204
7182.699772147148,6.299,6.139
7213.989155296908,6.261,6.073
7249.481107310514,6.21,5.996
7280.770028539272,6.135,5.898
7311.638646689546,6.031,5.774
7347.088522203202,5.909,5.634
7373.749948110732,5.789,5.497
7404.155816728883,5.694,5.383
7430.312841946862,5.629,5.3
7456.044982824825,5.583,5.237
7495.604498282484,5.531,5.169
7518.053600513181,5.453,5.078
7543.414949092416,5.349,4.963
7573.6908099777365,5.239,4.844
7595.2115467511985,5.15,4.745
7625.103346455942,5.098,4.681
7646.585677111348,5.083,4.651
7671.850348533054,5.093,4.645
7706.739829373854,5.121,4.654
7724.098640471634,5.16,4.674
7748.950959937575,5.206,4.7
7779.175917911567,5.249,4.723
7805.314852065131,5.273,4.73
7831.0451838366525,5.263,4.705
7856.734655369968,5.208,4.64
7877.796753208231,5.105,4.535
7907.6426890194525,4.966,4.398
7929.120433285509,4.808,4.245
7949.761358397046,4.653,4.097
7970.318601593131,4.529,3.977
7995.490764268902,4.464,3.909
8016.501131221412,4.468,3.901
8032.472030930363,4.526,3.942
8061.808846928654,4.624,4.016
8083.235679213413,4.763,4.124
8103.871513126822,4.918,4.246
8129.051534874328,4.975,4.284
8154.685975405242,4.826,4.145
8175.742570143267,4.53,3.881
8191.7180926307665,4.334,3.703
8211.808795564448,4.367,3.72
8236.934304213979,4.571,3.884
8257.940005763865,4.641,3.934
8278.533726603786,4.245,3.591
8294.462961701476,4.127,3.483
8314.549035896178,4.081,3.436
