RPM,Hp,Nm
509.1214388688879,1.389,18.742
517.1121438868888,1.851,24.773
524.211214388689,2.252,29.889
532.1211214388688,2.559,33.66
539.2121121438869,2.763,35.964
548.0212112143886,2.873,36.963
554.3021211214389,2.915,37.011
562.1302121121439,2.919,36.53
568.3130212112144,2.911,35.894
576.1313021211215,2.91,35.355
584.1131302121121,2.922,35.018
591.2113130212114,2.948,34.872
598.2211313021212,2.982,34.841
606.122113130212,3.017,34.846
613.2122113130214,3.051,34.84
620.2212211313021,3.085,34.823
628.1221221131302,3.122,34.83
635.2122122113132,3.166,34.901
642.2212212211313,3.218,35.06
649.2221221221133,3.278,35.301
657.1222122122114,3.343,35.592
665.1122212212211,3.41,35.893
672.2112221221221,3.475,36.178
681.021122212212,3.54,36.445
688.202112221221,3.607,36.718
695.2202112221221,3.68,37.032
703.1220211222122,3.761,37.416
711.1122021122212,3.851,37.876
720.011220211222,3.949,38.402
728.1011220211223,4.052,38.968
736.1101122021123,4.16,39.556
744.1110112202114,4.272,40.155
753.911101122021,4.387,40.767
762.0911101122022,4.506,41.392
770.1091110112203,4.629,42.023
779.9109111011221,4.751,42.634
788.9910911101122,4.869,43.195
797.9991091110112,4.98,43.683
807.8999109111011,5.086,44.099
816.9899910911101,5.188,44.47
825.998999109111,5.291,44.834
835.8998999109111,5.4,45.223
844.9899899910911,5.513,45.639
854.898998999109,5.627,46.047
864.8898998999108,5.733,46.39
873.9889899899911,5.825,46.612
885.6988989989993,5.897,46.68
894.0698898999001,5.952,46.604
903.9069889899898,5.993,46.425
912.9906988989991,6.029,46.206
923.7990698899001,6.067,46.009
932.97990698899,6.115,45.884
941.997990698899,6.175,45.855
952.7997990698899,6.248,45.925
961.0799799069891,6.332,46.072
971.8079979906988,6.421,46.257
980.9807997990702,6.51,46.433
990.8980799799069,6.592,46.556
1001.7898079979907,6.663,46.601
1010.078980799799,6.723,46.574
1019.9078980799798,6.778,46.502
1030.790789807998,6.831,46.418
1039.9790789807998,6.884,46.339
1048.99790789808,6.935,46.249
1058.899790789808,6.978,46.113
1068.889979078981,7.007,45.896
1078.888997907898,7.023,45.592
1087.98889979079,7.028,45.232
1096.998889979079,7.031,44.859
1105.9998889979079,7.035,44.502
1115.899988899791,7.039,44.155
1124.989998889979,7.036,43.782
1133.9989998889978,7.023,43.352
1142.9998999888999,6.997,42.857
1151.99998999889,6.964,42.329
1160.0999989998888,6.932,41.816
1169.0099998999888,6.906,41.347
1178.0009999899987,6.883,40.911
1186.1000999990001,6.857,40.468
1194.1100099999,6.823,39.988
1203.01100099999,6.784,39.485
1211.101100099999,6.748,39.015
1219.11011001,6.728,38.634
1226.2110110009999,6.724,38.357
1235.0211011001,6.729,38.137
1243.10211011001,6.731,37.909
1251.1102110110012,6.723,37.627
1258.2110211011002,6.703,37.283
1266.1211021101099,6.672,36.885
1274.112110211011,6.632,36.445
1281.2112110211015,6.59,36.005
1289.1211211021102,6.563,35.644
1296.2121121102111,6.562,35.431
1303.221211211021,6.581,35.333
1311.122121121102,6.595,35.207
1318.2122121121104,6.577,34.924
1326.1212212112112,6.528,34.475
1332.312122121121,6.455,33.909
1339.231212212112,6.354,33.206
1346.2231212212114,6.219,32.341
1353.2223121221214,6.077,31.448
1359.322231212212,5.968,30.735
1364.4322231212213,5.901,30.247
1372.1432223121221,5.864,29.921
1378.3143222312124,5.848,29.707
1383.4314322231212,5.839,29.526
1390.2431432223123,5.753,28.97
1396.3243143222314,5.567,27.925
1401.4324314322232,5.633,28.124
1407.3432431432223,5.774,28.7
1414.2343243143223,5.393,26.718
1418.523432431432,5.575,27.497
1425.252343243143,5.996,29.45
