RPM,Hp,Nm
632.1256989899999,1.651,18.045
639.212569899,2.206,23.944
647.1212569899001,2.697,29.063
654.21212569899,3.086,33.001
661.2212125698991,3.36,35.629
669.1221212569899,3.531,37.066
677.112212125699,3.622,37.605
684.21122121257,3.665,37.603
692.121122121257,3.689,37.395
700.1121122121258,3.718,37.226
707.2112112212127,3.764,37.233
716.0211211221214,3.831,37.455
724.1021121122122,3.917,37.864
731.2102112112211,4.016,38.402
739.1210211211221,4.125,39.012
748.9121021121123,4.239,39.653
757.0912102112112,4.358,40.313
765.1091210211212,4.483,40.996
774.9109121021121,4.615,41.716
783.0910912102112,4.754,42.477
792.0091091210212,4.9,43.262
801.0009109121022,5.045,44.031
811.8000910912102,5.185,44.724
820.080009109121,5.31,45.285
830.8080009109123,5.418,45.677
839.9808000910913,5.506,45.898
849.8980800091092,5.579,45.981
859.8898080009109,5.642,45.975
868.0889808000911,5.701,45.93
878.8088980800092,5.758,45.877
887.0808898080008,5.815,45.828
898.7080889808001,5.872,45.784
907.07080889808,5.93,45.749
917.8070808898079,5.991,45.737
926.0807080889807,6.059,45.774
935.9080708088982,6.136,45.877
945.8908070808898,6.223,46.044
954.9890807080891,6.314,46.244
965.7989080708087,6.404,46.431
974.9798908070808,6.486,46.564
984.897989080708,6.56,46.628
994.8897989080708,6.626,46.639
1004.8889798908073,6.691,46.631
1013.9888979890808,6.757,46.632
1023.8988897989079,6.824,46.639
1032.9898889798908,6.886,46.617
1043.7989888979891,6.935,46.517
1053.879898889799,6.967,46.308
1062.9879898889799,6.983,45.996
1072.898798988898,6.989,45.631
1081.9898798988897,6.998,45.28
1090.0989879898889,7.016,44.994
1100.8098987989888,7.044,44.781
1110.8809898798988,7.074,44.596
1119.08809898799,7.095,44.359
1128.008809898799,7.092,43.985
1137.9008809898799,7.056,43.422
1146.990088098988,6.986,42.665
1155.0990088098988,6.891,41.773
1164.00990088099,6.788,40.848
1172.1009900880988,6.698,40.013
1180.11009900881,6.639,39.381
1188.1110099008808,6.626,39.022
1197.0111009900882,6.66,38.948
1204.201110099009,6.733,39.105
1213.0201110099008,6.827,39.378
1221.1020111009902,6.915,39.617
1230.0102011100992,6.97,39.672
1238.1010201110103,6.975,39.445
1246.1101020111012,6.927,38.922
1254.11101020111,6.84,38.194
1262.1111010201112,6.743,37.419
1270.1111101020113,6.666,36.757
1276.311111010201,6.623,36.295
1284.1311111010202,6.612,36.018
1292.1131111101022,6.617,35.839
1300.1113111110105,6.621,35.659
1307.211131111101,6.612,35.413
1314.2211131111098,6.586,35.076
1321.2221113111113,6.539,34.634
1328.2222111311114,6.467,34.073
1336.1222211131112,6.371,33.394
1343.2122221113113,6.259,32.642
1348.421222211131,6.149,31.91
1355.2421222211128,6.06,31.294
1362.2242122221112,6.001,30.839
1368.3224212222112,5.966,30.514
1374.3322421222208,5.938,30.235
1381.233224212222,5.901,29.91
1387.3233224212222,5.841,29.48
1392.4323322421221,5.759,28.937
1399.2432332242122,5.659,28.315
1405.3243233224212,5.554,27.677
1409.5324323322425,5.458,27.086
1416.2532432332246,5.378,26.589
1421.4253243233225,5.32,26.2
1426.4425324323322,5.283,25.916
1432.3442532432327,5.263,25.722
1437.434425324323,5.248,25.552
1442.4434425324325,5.209,25.274
1448.3443442532437,5.12,24.756
1452.5344344253242,4.984,24.014
1458.3534434425324,4.844,23.26
1461.6353443442533,4.748,22.723
1467.3635344344257,4.674,22.299
1471.5363534434423,4.601,21.886
1476.4536353443443,4.628,21.944
1480.5453635344347,4.754,22.465
1485.4545363534435,4.821,22.716
1491.3454536353445,4.874,22.891
1494.6345453635345,4.911,22.99
1500.3634545363536,4.97,23.188
1504.5363454536355,4.254,19.802
1506.7536345453639,2.97,13.793
