RPM,Hp,Nm,afr
3925.308248922744,1.499,2.653,11.59
3931.980366176678,3.068,5.273,11.602
4026.225559553447,4.934,8.313,11.648
4140.237234854428,6.828,11.301,11.695
4294.757668439572,8.471,13.768,11.66
4420.301454917352,9.687,15.429,11.706
4537.442989528433,10.456,16.268,11.66
4659.248886108807,10.901,16.509,11.683
4792.530393198036,11.21,16.483,11.706
4910.445699870263,11.549,16.474,11.799
5026.824386500787,12.003,16.626,11.857
5187.08610837485,12.571,16.942,11.904
5324.213197993448,13.197,17.333,12.02
5464.531411542465,13.803,17.684,12.078
5599.664150328559,14.319,17.91,11.915
5734.27834163836,14.722,17.986,12.136
5874.3452653564955,15.078,17.987,12.112
6058.994159563173,15.549,18.087,11.973
6160.02785632329,16.342,18.496,12.182
6357.287189302054,17.573,19.33,12.205
6393.52688406782,19.143,20.484,12.31
6688.893972810452,20.715,21.616,12.507
6861.549947739762,21.847,22.291,12.565
7021.934811287738,22.242,22.228,12.75
7192.101738009506,21.951,21.488,12.843
7346.733109580767,21.372,20.466,13.029
7499.810925636977,21.022,19.665,13.145
7619.705863205899,21.212,19.384,13.226
7774.814623017836,21.853,19.547,13.296
7966.472287989858,22.519,19.768,13.528
8117.748146230179,22.732,19.623,13.516
8264.985823797331,22.264,18.916,13.864
8384.296747517348,21.278,17.794,14.026
8522.833344476505,20.226,16.646,14.293
8652.28333444765,19.618,15.887,14.653
8731.283379316324,19.749,15.743,15.128
8904.32099848209,20.484,16.088,16.08
9020.707329206005,21.301,16.507,16.88
9142.437705397664,21.742,16.637,17.437
9308.739183383805,21.951,16.569,17.228
9407.938138521866,22.475,16.706,17.425
9522.445189998974,23.492,17.187,17.309
9688.024335513657,23.866,17.227,17.332
9831.187754652283,21.748,15.547,17.332
9906.054555281742,17.722,12.564,17.031
9963.082519748357,14.513,10.186,16.961
10001.812839130798,13.095,9.108,16.741
10132.291375656201,12.793,8.839,16.416
10167.357577932593,13.358,9.181,16.288
10253.43300549968,14.211,9.697,16.045
10339.104768439876,15.588,10.56,16.045
