RPM,Hp,Nm,afr
3756.521809992307,2.353,4.32,11.996
3828.482369678476,3.809,6.839,11.938
3920.5840860244516,5.375,9.446,11.857
4037.3414274703696,6.896,11.849,11.776
4162.224708784773,8.238,13.814,11.741
4293.580961444516,9.32,15.22,11.648
4425.5845112387915,10.13,16.08,11.637
4568.973545463502,10.71,16.501,11.672
4702.180373414274,11.135,16.642,11.625
4840.029358096145,11.486,16.658,11.451
4978.342558451124,11.842,16.676,11.37
5122.362557731904,12.262,16.78,11.428
5255.6324821882845,12.789,17.016,11.428
5404.808531237696,13.444,17.396,11.532
5549.91481538792,14.23,17.905,11.625
5711.595255123699,15.114,18.492,11.637
5869.27273305954,16.022,19.065,11.648
6032.210292173879,16.827,19.493,11.637
6195.673859406067,17.388,19.639,11.556
6364.8504048085315,17.621,19.433,11.521
6523.277493311041,17.583,18.95,11.474
6686.2900134820475,17.494,18.422,11.405
6815.79881266896,17.659,18.151,11.37
6947.617617115952,18.3,18.347,11.382
7119.290063598387,19.406,18.988,11.37
7289.287496925876,20.721,19.816,11.277
7476.098561013342,21.873,20.474,11.231
7653.270233459825,22.593,20.713,11.208
7812.4968346667365,22.834,20.5,11.057
7975.589306108182,22.741,19.99,11.092
8133.407987214592,22.503,19.375,11.092
8285.038911929007,22.222,18.763,11.045
8441.71143836271,21.908,18.17,11.01
8587.567370251363,21.567,17.591,11.045
8721.020887968532,21.263,17.066,10.999
8858.894541627042,21.077,16.652,11.034
8991.549831521193,21.038,16.37,11.057
9129.343662397403,21.143,16.211,11.034
9267.651347371817,21.428,16.19,11.034
9394.68966303907,21.926,16.323,11.034
9531.92179649259,22.474,16.49,10.987
9675.83368908322,22.791,16.493,11.022
9814.753180229076,22.776,16.261,11.045
9936.192299154984,22.63,15.939,10.999
10061.543758217385,22.327,15.522,10.987
10192.946828651926,21.561,14.812,11.092
10296.653173431232,19.6,13.333,11.08
10380.60871356954,15.541,10.491,11.138
10428.626909092805,12.075,8.098,11.184
10473.051370154564,8.456,5.651,11.3
