RPM,Hp,Nm,afr
2800.365333892567,2.162,5.156,10.697
2883.810118294917,3.244,7.587,10.686
2994.041389187982,4.231,9.716,10.709
3118.2720634471,4.994,11.252,10.709
3221.2611686088608,5.487,12.097,10.813
3322.126116860886,5.766,12.384,10.836
3411.4578947049567,5.964,12.409,10.755
3493.9759781497414,6.23,12.5,10.836
3604.1145789470497,6.664,12.875,10.813
3717.01523147961,7.283,13.571,10.848
3847.1732212611687,8.018,14.456,10.883
3990.3776994846066,8.758,15.314,10.929
4123.566071835253,9.397,15.954,11.115
4261.41321095711,9.878,16.283,11.324
4394.065849397598,10.2,16.319,11.532
4520.538660411458,10.414,16.168,11.799
4663.374620758126,10.596,15.968,12.089
4790.865763962605,10.825,15.844,12.263
4916.822425452864,11.161,15.879,12.6
5048.2860161301915,11.64,16.106,12.681
5197.281431801699,12.263,16.511,12.808
5325.38852053866,13.01,17.046,12.739
5491.029418091603,13.842,17.648,12.623
5632.121809733688,14.713,18.253,12.553
5799.0612375771425,15.581,18.807,12.31
5951.604236965261,16.398,19.261,12.17
6125.349102941808,17.113,19.569,12.02
6284.233023501728,17.679,19.699,11.985
6447.291226878474,18.086,19.654,11.811
6616.427235895394,18.382,19.493,11.718
6774.850270759351,18.679,19.332,11.683
6926.54163084952,19.099,19.291,11.683
7083.2202008208005,19.693,19.419,11.718
7251.718246497174,20.394,19.649,11.764
7421.398239744056,21.036,19.827,11.776
7591.196427747991,21.456,19.805,11.788
7749.685680510649,21.611,19.546,11.892
7907.0440397491775,21.598,19.143,11.938
8058.628932276804,21.562,18.732,11.938
8203.97610077485,21.568,18.381,12.043
8360.020251586919,21.57,18.055,12.286
8511.473723271898,21.501,17.695,12.437
8651.147372327187,21.378,17.308,12.449
8783.982661761023,21.284,16.955,12.588
8921.794492591198,21.253,16.666,12.692
9065.764354919498,21.248,16.413,12.843
9193.368888322138,21.252,16.179,12.959
9330.657643549195,21.321,16.001,13.006
9451.933688883222,21.452,15.876,13.075
9594.249972661906,21.808,15.913,13.098
9721.689148209587,22.284,16.035,13.11
9853.300990292657,22.682,16.099,13.191
9985.330099029265,21.339,14.979,13.191
10077.778292921794,16.317,11.359,13.284
10109.66462174501,11.02,7.622,13.191
10129.834386702803,4.488,3.098,13.272
