RPM,Hp,Nm,afr
3626.7096885953806,3.634,6.766,15.523
3736.255874519916,5.352,9.76,15.453
3871.738794999161,6.952,12.415,15.268
4004.155011575387,8.256,14.415,15.326
4136.264557761312,9.177,15.627,15.465
4268.343436908206,9.736,16.124,15.279
4400.419249351197,10.037,16.129,15.291
4521.174000406819,10.23,15.925,15.047
4652.117400040681,10.447,15.753,14.908
4784.079664532371,10.776,15.757,14.618
4916.14381550984,11.241,15.967,14.502
5053.87853249438,11.82,16.333,14.525
5192.180306079626,12.465,16.771,14.479
5341.859540041925,13.133,17.211,14.316
5492.676520041929,13.81,17.623,14.305
5637.946897287212,14.515,18.026,14.282
5793.983368974004,15.28,18.452,14.142
5945.436072746457,16.098,18.901,13.968
6113.411531802948,16.882,19.291,13.841
6266.05813431237,17.473,19.47,13.69
6439.813360601048,17.726,19.303,13.713
6598.698317192181,17.635,18.793,13.725
6761.756624172048,17.406,18.148,13.829
6908.251134115317,17.388,17.709,13.62
7002.145868128513,17.878,17.762,13.678
7147.384398133606,18.921,18.347,13.62
7354.361081322794,20.26,19.211,13.702
7527.888938320958,21.472,19.949,13.713
7698.07191270002,22.206,20.234,13.794
7856.599644100191,22.362,19.982,13.852
8008.3014738439815,22.088,19.347,13.91
8159.320713422134,21.639,18.579,14.015
8310.271693983721,21.21,17.868,14.166
8449.895093926674,20.861,17.27,14.131
8588.385735807762,20.571,16.76,14.247
8721.102724524173,20.332,16.316,14.479
8858.902725282605,20.181,15.955,14.641
8980.229895169772,20.122,15.676,14.804
9099.909781969807,20.075,15.422,15.256
9242.066449895092,19.957,15.128,15.581
9363.829286498942,19.791,14.807,15.697
9472.231985253668,19.63,14.499,15.952
9584.959047581973,19.423,14.171,15.778
9709.439300984612,19.072,13.755,15.732
9823.774118777706,18.569,13.246,15.813
9914.452883575887,18.028,12.723,15.65
10008.426420433061,17.519,12.237,15.349
10125.370943930098,16.91,11.699,15.349
10193.669169864708,15.798,10.84,15.14
10279.744275477036,13.074,8.915,14.873
10322.314050189212,9.54,6.472,14.664
10337.891782377412,6.66,4.502,14.618
10367.751442388682,4.03,2.716,14.618
10370.737408389812,1.821,1.232,14.432
