RPM,Hp,Nm,afr
3270.846508407641,1.174,2.531,14.34
3302.7096508407635,1.995,4.18,14.142
3334.020965084076,2.961,6.061,13.841
3410.2770965084073,4.006,8.024,13.528
3513.5277096508403,5.049,9.895,13.516
3630.727770965084,6.011,11.516,13.446
3743.697777096508,6.831,12.776,13.226
3856.244777709651,7.482,13.636,12.971
3963.1244777709658,7.964,14.123,12.739
4080.687447777097,8.301,14.308,12.53
4199.318744777709,8.529,14.285,12.321
4312.43187447777,8.685,14.14,11.996
4424.993187447777,8.799,13.943,11.695
4548.749318744777,8.899,13.741,11.474
4651.124931874478,9.008,13.569,11.103
4756.987493187448,9.147,13.45,10.906
4868.823749318745,9.325,13.394,10.546
4975.632374931874,9.54,13.393,10.222
5081.938237493187,9.771,13.416,9.932
5205.068823749318,9.981,13.419,9.723
5301.756882374931,10.131,13.353,9.642
5418.300688237493,10.198,13.191,9.514
5525.58006882375,10.189,12.94,9.595
5637.558006882375,10.144,12.651,9.618
5738.755800688237,10.122,12.394,9.595
5816.375580068823,10.182,12.239,9.665
5908.5125580068825,10.357,12.223,9.665
6024.601255800688,10.641,12.338,9.792
6126.210125580069,11.0,12.538,9.769
6243.246012558007,11.384,12.763,9.734
6350.5746012558,11.746,12.957,9.874
6445.6824601255785,12.062,13.092,10.036
6556.443246012557,12.326,13.161,10.129
6663.144324601255,12.544,13.176,10.129
6780.689432460125,12.728,13.155,10.314
6882.443943246012,12.886,13.109,10.326
6988.2443943246,13.024,13.046,10.546
7094.44943943246,13.145,12.97,10.744
7200.694943943246,13.257,12.889,10.802
7306.944494394324,13.367,12.809,10.848
7407.569449439432,13.481,12.735,11.045
7513.2569449439425,13.598,12.667,11.138
7619.450694494394,13.711,12.6,11.3
7714.445069449438,13.814,12.527,11.463
7819.569506944944,13.904,12.446,11.556
7925.706950694493,13.988,12.361,11.695
8026.320695069449,14.076,12.283,11.811
8120.757069506945,14.177,12.217,11.88
8214.575706950694,14.285,12.16,12.147
8319.582570695069,14.387,12.101,12.344
8425.708257069507,14.469,12.029,12.6
8520.69582570695,14.526,11.939,12.727
8608.944582570693,14.562,11.834,12.89
8707.769458257068,14.581,11.718,12.948
8807.651945825706,14.578,11.589,13.064
8890.765194582571,14.541,11.439,13.087
8994.701519458258,14.453,11.254,13.203
9083.845151945825,14.304,11.029,13.319
9160.259515194582,14.097,10.767,13.296
9252.27595151946,13.852,10.482,13.354
9334.602595151944,13.592,10.193,13.423
9421.585259515194,13.332,9.912,13.446
9486.53352595152,13.072,9.638,13.458
9566.153352595153,12.807,9.369,13.458
9647.240335259517,12.543,9.106,13.493
9717.22403352595,12.295,8.859,13.574
9786.097403352593,12.072,8.636,13.4
9843.609740335258,11.873,8.434,13.365
9922.485974033527,11.706,8.26,13.435
9997.873597403352,11.595,8.126,13.33
10044.787359740334,11.554,8.044,13.365
10111.353735974035,11.551,7.989,13.4
10185.510373597403,11.508,7.91,13.238
10249.176037359739,11.352,7.756,13.203
10306.167603735974,11.057,7.511,12.982
10362.4917603736,10.646,7.192,13.017
10418.749176037358,10.175,6.837,12.901
10474.999917603735,9.725,6.501,12.913
10519.999991760373,9.384,6.243,12.774
10569.499999176034,9.198,6.089,12.704
10619.449999917602,9.128,6.015,12.646
10669.444999991762,9.093,5.965,12.623
10713.819499999174,8.695,5.681,12.576
10757.631949999915,7.709,5.02,12.542
10790.138194999994,6.544,4.249,12.484
10810.263819499998,6.012,3.889,12.333
10851.651381949996,6.892,4.441,12.217
10895.165138195,6.722,4.32,12.136
10922.016513819503,6.167,3.954,12.159
