RPM,Hp,Nm,afr
3263.287028341608,3.154,6.544,18.075
3363.8287028341606,4.352,8.863,18.075
3469.507870283416,5.427,10.843,18.075
3575.7007870283414,6.295,12.315,18.086
3681.945078702834,6.927,13.235,18.063
3793.8195078702834,7.345,13.669,18.075
3906.256950787028,7.608,13.76,18.075
4018.7506950787024,7.788,13.671,18.075
4120.000069507871,7.949,13.541,18.075
4231.375006950787,8.133,13.46,18.075
4338.1375006950775,8.359,13.461,17.147
4455.688750069508,8.628,13.539,16.66
4568.69387500695,8.929,13.67,16.091
4686.869387500696,9.253,13.828,15.465
4794.31193875007,9.594,13.999,14.896
4911.931193875007,9.949,14.174,14.456
5030.568119387501,10.319,14.354,14.166
5149.306811938751,10.703,14.54,13.806
5279.305681193875,11.099,14.729,13.307
5393.555568119386,11.502,14.916,12.924
5517.480556811938,11.905,15.09,12.727
5647.998055681193,12.297,15.24,12.275
5767.924805568119,12.663,15.352,12.043
5903.667480556813,12.989,15.412,11.857
6024.116748055681,13.265,15.413,11.799
6148.661674805567,13.487,15.354,11.834
6279.241167480556,13.662,15.244,11.857
6404.799116748054,13.796,15.096,11.938
6518.604911674805,13.901,14.924,12.078
6636.86049116748,13.982,14.739,12.159
6761.186049116748,14.046,14.546,12.286
6880.493604911675,14.101,14.355,12.426
6993.674360491167,14.163,14.178,12.484
7111.867436049118,14.244,14.027,12.553
7219.311743604911,14.352,13.909,12.716
7325.68117436049,14.482,13.817,12.808
7448.818117436049,14.615,13.734,12.948
7562.381811743605,14.732,13.642,12.982
7669.363181174359,14.822,13.529,13.052
7781.311318117436,14.884,13.396,13.412
7882.506131811743,14.924,13.247,13.678
7993.875613181175,14.942,13.084,13.841
8100.637561318118,14.928,12.902,14.177
8195.68875613181,14.874,12.694,14.467
8312.06887561318,14.781,12.462,14.676
8408.081887561319,14.67,12.222,14.827
8496.433188756135,14.57,11.998,15.326
8589.643318875613,14.503,11.806,15.395
8700.21433188756,14.466,11.646,15.964
8784.396433188755,14.425,11.488,16.161
8871.564643318876,14.328,11.295,16.23
8975.906464331885,14.136,11.035,16.497
9053.84064643319,13.842,10.705,16.903
9140.384064643316,13.488,10.336,17.066
9216.538406464331,13.147,9.985,17.24
9302.903840646433,12.893,9.706,17.506
9367.790384064643,12.754,9.519,17.495
9453.029038406463,12.691,9.395,17.785
9523.427903840646,12.618,9.268,17.808
9609.217790384064,12.454,9.08,18.086
9668.421779038406,12.176,8.813,18.075
9747.46717790384,11.831,8.504,18.005
9805.996717790385,11.513,8.217,18.075
9868.099671779039,11.303,8.012,18.028
9941.809967177904,11.218,7.899,18.086
9999.805996717789,11.198,7.835,17.901
10061.855599671779,11.155,7.758,18.005
10129.935559967178,11.048,7.638,18.098
10192.993555996716,10.907,7.494,18.075
10238.674355599673,10.765,7.352,18.075
10310.742435559967,10.588,7.191,17.82
10362.949243555997,10.332,6.979,18.075
10418.7949243556,10.032,6.742,18.086
10469.379492435559,9.756,6.522,18.017
10519.437949243555,9.567,6.364,17.97
10575.068794924355,9.434,6.245,18.028
10620.006879492435,9.219,6.075,17.912
10669.500687949243,8.706,5.714,17.53
10708.200068794926,7.994,5.226,17.495
10740.195006879492,5.872,3.829,17.448
10748.776950068794,2.681,1.745,17.588
