RPM,Hp,Nm,afr
3057.999318680624,2.263,4.989,12.426
3152.0499318680622,3.368,7.281,12.46
3251.454993186806,4.429,9.394,12.368
3357.0204993186803,5.342,11.1,12.31
3457.5770499318683,6.049,12.282,12.078
3563.257704993187,6.545,12.949,11.718
3675.075770499319,6.875,13.219,11.382
3776.2575770499316,7.106,13.254,11.022
3876.3757577049923,7.304,13.208,10.778
3987.6375757704986,7.51,13.18,10.43
4100.0137575770505,7.739,13.202,10.198
4206.876375757705,7.983,13.262,9.897
4318.81263757577,8.226,13.326,9.665
4431.256263757577,8.458,13.369,9.502
4538.125626375758,8.671,13.378,9.386
4644.437562637575,8.862,13.352,9.375
4750.693756263757,9.029,13.29,9.317
4868.194375626375,9.165,13.192,9.294
4969.944437562637,9.268,13.057,9.386
5075.7444437562635,9.345,12.895,9.317
5187.574444375627,9.41,12.725,9.328
5277.507444437561,9.483,12.571,9.317
5382.125744443757,9.581,12.458,9.421
5482.587574444375,9.715,12.395,9.305
5588.258757444437,9.885,12.38,9.34
5688.825875744444,10.079,12.397,9.282
5794.507587574443,10.283,12.426,9.282
5883.825758757444,10.48,12.448,9.212
5999.632575875744,10.662,12.451,9.363
6095.588257587574,10.833,12.442,9.294
6200.808825758758,11.012,12.438,9.352
6306.955882575875,11.218,12.462,9.375
6396.320588257588,11.462,12.525,9.398
6500.882058825759,11.737,12.619,9.514
6618.2132058825755,12.018,12.717,9.433
6719.946320588258,12.273,12.786,9.595
6820.119632058827,12.473,12.798,9.932
6925.761963205883,12.605,12.741,10.28
7031.951196320589,12.672,12.622,10.604
7132.570119632059,12.697,12.467,11.08
7232.6320119632055,12.718,12.311,11.498
7332.63820119632,12.763,12.184,11.718
7427.013820119631,12.838,12.089,11.996
7526.451382011963,12.904,11.992,12.333
7626.395138201196,12.883,11.824,12.495
7720.764513820119,12.696,11.516,12.878
7808.9514513820095,12.307,11.041,13.098
7896.5201451382,11.775,10.455,13.18
7972.777014513819,11.268,9.902,13.377
8047.9027014513795,10.999,9.566,13.655
8122.915270145139,11.111,9.562,13.736
8203.541527014515,11.565,9.849,13.968
8290.354152701451,12.141,10.237,14.189
8383.410415270142,12.551,10.481,14.316
8471.466041527014,12.568,10.397,14.514
8542.1466041527,12.15,9.96,14.467
8622.33966041527,11.455,9.306,14.537
8692.233966041525,10.563,8.513,14.514
8744.223396604151,9.631,7.71,14.618
8811.297339660414,9.225,7.331,14.722
8868.629733966041,9.703,7.644,14.653
8919.362973396605,10.471,8.186,14.862
9031.31129733966,10.54,8.187,14.862
9059.381129733965,9.66,7.462,14.838
9112.813112973396,7.765,5.969,15.244
9146.28131129734,6.667,5.099,15.395
9183.378131129733,5.87,4.473,15.244
