RPM,Hp,Nm,afr
3338.6385812668113,3.087,6.245,13.156
3447.0714052964927,4.591,9.091,13.075
3571.1222348692722,6.013,11.651,12.994
3696.734864996361,7.206,13.632,12.913
3822.5036751788816,8.099,14.915,12.866
3948.288103366945,8.71,15.566,12.866
4074.0740933555626,9.123,15.779,12.843
4205.520616882725,9.439,15.784,12.843
4331.872816405254,9.744,15.76,12.832
4463.375960885809,10.085,15.802,12.808
4606.714954579147,10.477,15.93,12.936
4734.256401118291,10.915,16.127,12.855
4865.8784703005085,11.393,16.367,12.866
5014.889733822503,11.907,16.634,12.808
5148.658784703004,12.454,16.922,12.936
5292.2243690363375,13.03,17.225,12.866
5448.090361431935,13.639,17.545,12.878
5588.205262558288,14.29,17.889,12.808
5749.386563991678,14.999,18.272,12.797
5895.6933733803,15.773,18.695,12.739
6057.493865639916,16.58,19.123,12.774
6226.504103545124,17.338,19.476,12.878
6384.914561297908,17.932,19.643,13.006
6553.585795752433,18.274,19.546,13.075
6717.622730518639,18.374,19.207,13.098
6869.875480599033,18.372,18.772,13.145
7020.949812210846,18.478,18.45,13.319
7154.925169900331,18.862,18.403,13.4
7315.492516990033,19.537,18.637,13.354
7484.379440378249,20.344,18.998,13.458
7648.437944037825,21.046,19.26,13.504
7806.353228366047,21.468,19.265,13.632
7963.654190761133,21.582,18.996,13.748
8115.233343604416,21.486,18.551,13.806
8260.579938134028,21.306,18.055,13.47
8405.303276832272,21.118,17.581,13.852
8549.964289947378,20.937,17.141,13.934
8688.95869314568,20.75,16.721,14.05
8816.065680635322,20.553,16.312,14.189
8953.304681271078,20.381,15.939,14.502
9080.236128504468,20.3,15.647,14.606
9206.136820397616,20.291,15.423,14.943
9331.934436756741,20.24,15.179,15.268
9457.721745562467,20.069,14.859,15.697
9577.84764625436,19.926,14.566,15.987
9686.086651417889,19.862,14.338,16.184
9810.118099104053,18.985,13.56,16.172
9913.08728160852,17.842,12.612,16.068
9996.969105519342,17.922,12.526,15.824
10112.904457721745,17.164,11.885,15.697
10198.082898602363,16.199,11.121,15.72
