RPM,Hp,Nm,afr
3136.4132711384336,2.726,5.897,12.124
3228.7356667364843,4.017,8.5,12.704
3339.85469874912,5.262,10.885,12.913
3464.174149120194,6.357,12.821,13.516
3584.1532639686234,7.246,14.205,14.003
3703.698345264787,7.931,15.065,14.606
3828.8604005642146,8.45,15.517,15.082
3960.244530622459,8.855,15.705,16.254
4092.250868156586,9.187,15.749,16.172
4224.319426438299,9.474,15.722,16.428
4356.394206794774,9.734,15.667,16.103
4488.469609358723,9.989,15.614,15.836
4614.884696784929,10.27,15.6,15.337
4735.0733753388695,10.61,15.665,14.954
4877.280922439548,11.035,15.839,14.78
5004.7092243194265,11.548,16.121,14.398
5147.640733752697,12.134,16.483,14.258
5286.462186582818,12.76,16.877,14.166
5436.193388469603,13.4,17.263,13.945
5581.355187903564,14.049,17.628,13.574
5731.720424450735,14.725,17.987,13.18
5888.266382067714,15.449,18.364,12.924
6034.109657074697,16.206,18.748,12.866
6195.863795896149,16.917,19.065,12.739
6364.869398457539,17.45,19.189,12.588
6517.619015317453,17.688,19.014,12.576
6680.063788324198,17.632,18.552,12.507
6837.817699587138,17.46,17.981,12.507
6972.461015241733,17.474,17.592,12.46
7099.132893977004,17.939,17.638,12.437
7230.668006378832,18.912,18.162,12.31
7424.953593090714,20.177,18.955,12.31
7591.551963082657,21.35,19.652,12.379
7766.702366119586,22.09,19.944,12.333
7925.726840385543,22.278,19.732,12.484
8077.478344415912,22.046,19.15,12.53
8222.842174064235,21.651,18.442,12.658
8373.227613632838,21.292,17.799,12.727
8512.79445947649,21.021,17.269,12.808
8651.279445947648,20.781,16.802,12.832
8795.316623840048,20.519,16.344,12.936
8917.267511440608,20.249,15.897,13.075
9042.670147370474,20.021,15.495,13.11
9168.417958133274,19.867,15.164,13.272
9294.200286379366,19.807,14.916,13.423
9419.986066373785,19.835,14.742,13.435
9528.791059467569,19.859,14.573,13.62
9652.879105946759,19.685,14.274,13.528
9772.835080405997,19.167,13.743,13.47
9875.396715587769,18.461,13.094,13.528
9970.558539483305,17.908,12.564,13.446
10070.640759608707,17.507,12.156,13.377
10171.215019357098,16.721,11.508,13.307
10254.857350992312,14.621,9.993,13.319
10308.50460302376,11.547,7.846,13.191
10342.171215019358,8.028,5.432,13.168
10368.179385652878,5.616,3.785,13.075
10387.761334791703,3.91,2.638,13.017
