RPM,Hp,Nm,afr
4280.24661851929,1.7,2.783,12.02
4299.512265157714,3.281,5.229,12.089
4373.959490978581,5.179,8.087,12.078
4498.552973891247,7.157,10.969,12.147
4633.739594909786,8.962,13.472,12.054
4758.828504945524,10.407,15.319,12.078
4899.6431810730655,11.437,16.444,12.112
5030.873409016398,12.126,16.985,12.089
5161.145192141308,12.622,17.191,12.054
5302.478155577768,13.085,17.313,11.985
5444.917237045381,13.628,17.521,12.205
5587.466930316108,14.3,17.88,12.321
5741.184709560536,15.088,18.362,12.402
5896.019297402334,15.926,18.877,12.565
6045.387053707175,16.71,19.302,12.727
6210.943664048405,17.318,19.517,12.982
6366.9621349998815,17.673,19.452,13.284
6527.6053044090795,17.792,19.141,13.446
6688.7109436640485,17.815,18.734,13.516
6816.391755523429,17.946,18.44,13.864
6951.8871094366405,18.345,18.416,13.934
7110.477967142011,19.029,18.675,14.154
7271.378375226598,19.863,19.079,14.258
7438.0882507458,20.635,19.419,14.432
7594.222048215077,21.173,19.534,14.583
7743.719725482665,21.426,19.383,14.63
7898.132303126779,21.451,19.029,14.722
8047.457858411853,21.335,18.567,14.63
8190.696199064328,21.122,18.052,15.059
8327.747305856847,20.813,17.49,15.094
8469.758201660065,20.432,16.901,15.569
8595.529539174271,20.08,16.357,15.871
8725.25543325627,19.879,15.951,15.952
8838.641245804965,19.868,15.71,15.952
8972.707099787109,19.959,15.563,16.242
9103.262445515902,20.02,15.402,16.323
9222.309715625972,19.992,15.181,16.254
9329.04915338078,19.908,14.923,16.439
9462.450369883532,19.729,14.605,16.474
9565.046689880917,19.381,14.179,16.404
9681.298057417845,18.932,13.694,16.358
9782.179392518643,18.442,13.194,16.242
9875.945211979139,17.696,12.534,16.08
9980.156504668988,16.327,11.463,15.836
10046.362757904915,14.328,9.984,15.708
10108.76850719545,11.837,8.197,15.639
10154.058668901365,9.075,6.254,15.627
10180.901734658732,5.984,4.115,15.639
