RPM,Hp,Nm,afr
3395.8350047009976,0.291,0.645,12.402
3424.4891608474586,0.638,1.366,12.368
3438.6753311790853,1.194,2.48,12.344
3468.3958350047014,2.004,4.044,12.321
3510.9905268966963,3.066,6.025,12.321
3588.8349017462738,4.322,8.281,12.24
3687.18537696708,5.662,10.579,12.344
3815.8883490174626,6.955,12.664,12.472
3947.626570750803,8.087,14.332,12.414
4079.6683174524387,8.994,15.486,12.414
4206.080039292413,9.667,16.147,12.507
4343.249513363204,10.15,16.427,12.402
4481.4947626570765,10.508,16.474,12.368
4619.8475894732555,10.812,16.43,12.24
4758.211174041666,11.125,16.402,12.228
4885.255079668319,11.492,16.454,12.205
5028.148149476266,11.939,16.614,12.24
5166.965758343852,12.475,16.883,12.217
5311.036198475895,13.098,17.244,12.24
5466.952676451362,13.794,17.668,12.275
5607.072626135701,14.545,18.126,12.286
5773.914809783382,15.325,18.582,12.263
5920.787707393432,16.096,18.994,12.263
6093.965563192174,16.811,19.316,12.263
6252.792782734312,17.422,19.505,12.321
6415.84531600928,17.903,19.545,12.333
6579.320380657532,18.267,19.459,12.391
6742.837698443112,18.57,19.311,12.391
6889.378109466952,18.89,19.181,12.46
7056.8623392485815,19.284,19.129,12.553
7209.459818830519,19.755,19.157,12.588
7371.8893781094675,20.246,19.209,12.716
7535.302145358117,20.678,19.212,12.82
7693.152856045245,21.002,19.117,12.994
7850.4473610762225,21.22,18.933,13.006
8002.025868183095,21.369,18.694,13.122
8153.032775497554,21.464,18.423,13.168
8303.982522832774,21.482,18.106,13.319
8454.92655417007,21.401,17.73,13.481
8594.549259190593,21.254,17.317,13.655
8733.039831579437,21.118,16.93,13.783
8865.756813346625,21.075,16.63,14.038
9009.217190768624,21.139,16.427,14.119
9136.770775680638,21.257,16.276,14.34
9279.71481341712,21.365,16.127,14.456
9401.556387002089,21.542,16.03,14.572
9543.929223605868,22.002,16.133,14.63
9665.713677077569,22.173,16.039,14.688
9808.080801670021,21.35,15.263,14.838
9924.204306582096,20.233,14.293,15.059
10009.401562733683,19.589,13.67,15.558
10142.44959023563,20.626,14.217,15.152
10246.320430721675,15.795,10.82,15.384
10256.70751477028,7.131,4.857,15.442
