RPM,Hp,Nm,afr
4702.252649970947,1.572,2.338,18.075
4729.04879440886,2.55,3.743,18.075
4784.6695853232395,3.643,5.279,18.075
4866.70225264997,4.771,6.822,17.715
4939.611401735586,5.853,8.247,17.843
5035.137610761794,6.815,9.452,17.646
5121.160819899709,7.607,10.374,17.356
5235.645493754679,8.205,10.993,17.077
5323.564549375468,8.613,11.33,16.752
5444.1211608199,8.861,11.442,16.172
5550.294469023167,9.0,11.405,15.534
5625.6176821964345,9.088,11.303,14.827
5744.914709396115,9.179,11.207,14.653
5827.432647410201,9.31,11.164,14.131
5947.449147093961,9.499,11.192,13.91
6024.156679415279,9.747,11.293,13.458
6155.3568444121165,10.057,11.46,12.924
6244.947449147095,10.441,11.701,12.739
6365.671215502945,10.923,12.031,12.437
6465.978886256178,11.528,12.47,12.263
6576.0096533315,12.267,13.024,12.066
6716.424494744915,13.13,13.676,11.962
6853.995390650963,14.082,14.383,11.788
6967.752480241566,15.073,15.094,11.799
7126.187012730041,16.052,15.754,11.637
7294.9716424494745,16.976,16.327,11.532
7405.967752480241,17.818,16.79,11.463
7587.655598777437,18.563,17.136,11.486
7741.118501054215,19.2,17.367,11.463
7903.5236148113045,19.723,17.485,11.544
8043.2935379517185,20.116,17.487,11.602
8210.211706736349,20.368,17.375,11.625
8368.079994203048,20.492,17.163,11.741
8513.278587655599,20.534,16.893,11.869
8663.092564647914,20.56,16.62,12.101
8807.485727053026,20.616,16.382,12.217
8945.454455058245,20.689,16.17,12.263
9088.663092564651,20.707,15.935,12.368
9238.27807396235,20.605,15.625,12.507
9376.768983866825,20.391,15.245,12.611
9508.265133680803,20.167,14.867,12.518
9615.532395721022,20.072,14.59,12.785
9761.553239572104,20.185,14.469,12.89
9882.037676898386,20.461,14.471,12.832
10029.380238278076,20.752,14.489,13.156
10144.114494416042,20.895,14.411,13.354
10273.234978853368,20.803,14.177,13.249
10409.676439061808,20.505,13.812,13.539
10511.555879200298,20.129,13.404,13.551
10627.626176155327,19.845,13.065,13.562
10756.880264674355,19.782,12.88,13.678
10852.15861470273,19.944,12.845,13.725
10979.333508529096,20.167,12.854,13.794
11092.050997911734,20.237,12.77,13.655
11209.205099791174,20.047,12.527,13.644
11309.155804096767,19.544,12.1,13.586
11413.268521586151,18.808,11.541,13.62
11511.915087452731,18.186,11.063,13.62
11610.015038157038,18.262,11.006,13.62
11696.295621462763,18.93,11.306,13.574
11822.570738616865,19.294,11.427,13.644
11911.66883856757,18.258,10.739,13.667
11985.284530915582,15.19,8.879,13.609
12033.82257073862,11.449,6.661,13.667
12062.205786485627,6.677,3.871,13.644
