RPM,Hp,Nm,afr
3893.5288097385574,1.57,2.803,18.075
3930.5293515620915,2.793,4.858,18.075
4016.582346920915,4.205,7.157,18.11
4125.187646456799,5.66,9.438,18.075
4230.1658234692095,6.992,11.423,18.075
4358.31069999398,8.06,12.893,18.075
4500.5369523523395,8.786,13.742,18.063
4626.524283470528,9.168,14.002,18.075
4739.123016582347,9.276,13.814,18.075
4856.2652428347055,9.217,13.372,18.086
4967.979465459942,9.092,12.854,18.075
5061.503828898935,8.969,12.373,18.075
5182.620971125187,8.865,11.959,18.075
5277.085626524284,8.76,11.585,18.075
5392.41444500537,8.621,11.202,17.773
5480.417915088774,8.435,10.78,17.251
5571.571203273584,8.211,10.329,16.776
5668.921826209713,7.983,9.887,16.045
5725.715712032737,7.789,9.501,15.708
5825.512747673863,7.661,9.211,15.07
5894.315980649741,7.623,9.042,14.688
5995.313951006149,7.701,9.012,14.27
6070.119630394733,7.924,9.148,13.922
6148.188433627709,8.323,9.471,13.574
6232.465902186301,8.916,9.992,13.214
6340.893649042161,9.693,10.689,12.982
6439.971717845393,10.615,11.513,12.739
6561.64423060807,11.632,12.401,12.472
6691.4585407078675,12.701,13.297,12.205
6810.322324659021,13.796,14.169,11.892
6939.855761877669,14.898,14.997,11.683
7099.8679291289445,15.986,15.763,11.521
7245.2809105599545,17.018,16.434,11.393
7389.233973408937,17.938,16.967,11.324
7562.452809105599,18.693,17.322,11.219
7715.068810322325,19.259,17.489,11.173
7871.506881032234,19.655,17.496,11.126
8022.444805750281,19.934,17.397,11.115
8184.5974217514995,20.154,17.251,11.15
8330.224448057505,20.343,17.088,11.242
8480.081268335163,20.496,16.91,11.347
8636.243420951163,20.607,16.71,11.44
8781.271400918646,20.691,16.497,11.486
8931.068316562454,20.779,16.295,11.672
9063.695066950364,20.879,16.111,11.73
9206.369506695037,20.952,15.918,11.788
9355.931068316564,20.938,15.673,11.927
9494.41663624342,20.815,15.361,12.054
9625.912251859638,20.644,15.024,12.124
9744.944166362437,20.551,14.751,12.542
9880.37676957742,20.638,14.611,12.24
10029.21414754598,20.896,14.596,12.437
10126.450826519305,21.196,14.615,12.426
10283.233317946047,21.374,14.555,12.576
10416.558625912254,21.276,14.315,12.808
10512.244097885343,20.83,13.857,12.774
10657.106762729713,20.277,13.34,12.785
10759.828323331794,20.097,13.07,12.808
10870.100479392006,20.458,13.151,12.692
10992.892400880379,20.727,13.186,12.866
11128.70100479392,20.27,12.775,12.855
11212.870100479391,19.615,12.242,12.866
11315.404657106763,18.768,11.605,12.866
11419.775759828324,17.313,10.617,12.878
11489.036399512246,14.465,8.817,12.948
11537.138934068873,10.396,6.305,12.901
