RPM,Hp,Nm,afr
4802.588163854741,1.508,2.19,18.075
4844.964698738417,2.559,3.66,18.075
4902.143528697371,3.747,5.289,18.075
4972.567294046209,4.968,6.92,18.075
5056.080258816386,6.103,8.386,18.075
5146.784496469874,7.045,9.541,18.075
5249.972567294047,7.717,10.294,18.075
5342.644315552935,8.084,10.616,18.075
5446.029137437647,8.155,10.541,18.075
5521.073501979059,7.976,10.149,18.075
5616.813232550847,7.62,9.548,18.086
5691.093087960967,7.172,8.857,18.075
5757.344602913744,6.718,8.184,18.075
5822.793283820787,6.333,7.62,18.075
5888.161681323256,6.08,7.232,18.075
5941.757344602915,6.001,7.059,17.332
6011.822793283823,6.12,7.119,16.938
6089.4175734460305,6.436,7.401,16.346
6132.471169109309,6.932,7.875,15.964
6242.658881616813,7.573,8.495,15.511
6294.8541234558,8.317,9.207,14.734
6417.7207064632275,9.127,9.966,14.514
6512.360305940442,9.985,10.744,14.293
6598.2948541234555,10.897,11.538,13.945
6736.300073647641,11.879,12.363,13.458
6844.2182426588815,12.949,13.23,13.18
6966.774765442359,14.096,14.126,12.855
7108.44218242659,15.278,15.011,12.507
7269.667747654425,16.422,15.817,12.159
7397.555010059561,17.448,16.476,11.962
7569.167265711839,18.299,16.94,11.834
7721.622608924126,18.956,17.203,11.486
7878.044613833589,19.434,17.292,11.451
8023.0985790304185,19.777,17.256,11.057
8184.662799079514,20.031,17.145,11.277
8330.230985790304,20.239,17.003,11.231
8491.846627990797,20.432,16.856,11.173
8631.53760397555,20.625,16.718,11.103
8780.800819221084,20.81,16.582,11.173
8925.138905451522,20.954,16.423,11.068
9080.7491846628,21.017,16.213,11.173
9213.957271407458,20.981,15.94,11.208
9356.689844787805,20.873,15.624,11.242
9500.374866831722,20.76,15.313,11.208
9614.743369036114,20.702,15.052,11.289
9761.474336903611,20.706,14.847,11.3
9882.029786631536,20.716,14.658,11.335
10029.379449251392,20.663,14.437,11.451
10138.232062572197,20.537,14.174,11.463
10272.646735668985,20.401,13.91,11.59
10391.970555919841,20.315,13.684,11.556
10498.02058500375,20.247,13.48,11.556
10632.154999676846,20.085,13.227,11.637
10751.450794085333,19.76,12.879,11.648
10851.615667643828,19.356,12.488,11.602
10961.632154999676,19.049,12.166,11.602
11060.869097852912,18.949,11.981,11.59
11176.675145079409,19.002,11.899,11.521
11282.373396860883,19.071,11.833,11.498
11387.060869097852,19.071,11.727,11.509
11485.764910439199,19.104,11.641,11.521
11595.635314573332,19.345,11.677,11.486
11694.857649104393,19.68,11.77,11.532
11804.7798825575,19.569,11.605,11.44
11904.007400020457,18.416,10.838,11.428
11978.636034119694,16.077,9.4,11.451
12039.040074000206,12.596,7.326,11.463
12074.492242694141,8.442,4.891,11.532
12083.919812504711,3.492,2.023,11.474
