RPM,Hp,Nm,afr
5160.206959559908,2.524,3.383,18.075
5226.658993828331,3.837,5.09,18.075
5290.751005765811,5.14,6.75,18.121
5366.096377172325,6.303,8.188,18.075
5465.545807929999,7.244,9.296,18.075
5544.426921218532,7.948,10.059,18.098
5638.485245313342,8.465,10.549,18.086
5716.827247935589,8.883,10.883,18.075
5833.810384368026,9.291,11.18,18.098
5908.700187372972,9.746,11.513,18.075
6031.082784694745,10.255,11.896,18.075
6123.746576341815,10.777,12.284,18.075
6236.417210825671,11.245,12.602,18.075
6362.577891295333,11.6,12.792,17.878
6455.619491257193,11.834,12.844,17.646
6579.817268274654,12.006,12.825,17.008
6695.64130129555,12.246,12.863,16.915
6781.90455566147,12.711,13.112,16.834
6899.679817268275,13.522,13.68,16.497
7049.329683854487,14.698,14.574,16.404
7156.2095641301285,16.129,15.676,16.242
7316.259254285353,17.604,16.779,16.068
7481.625925428536,18.9,17.672,15.72
7647.524294670513,19.869,18.225,15.871
7807.731152871306,20.493,18.432,15.894
7944.390136563727,20.857,18.387,15.859
8101.673056209565,21.077,18.213,15.766
8261.018369450743,21.235,17.996,15.766
8414.825241200393,21.349,17.761,15.708
8562.333587949825,21.401,17.496,15.476
8703.467401348174,21.366,17.179,15.349
8855.45312311354,21.235,16.802,14.943
8991.289993162418,21.031,16.386,14.78
9114.022616337521,20.832,15.989,14.618
9258.423538229497,20.771,15.705,14.224
9416.48065169529,20.968,15.617,14.108
9489.733171552507,21.417,15.716,13.864
9657.909487368015,21.925,15.865,13.655
9812.599459375098,22.21,15.861,13.458
9931.472711894958,22.083,15.575,13.214
10058.25365416822,21.571,15.028,13.075
10180.080684565759,20.875,14.368,12.913
10284.178281222536,20.249,13.772,12.774
10409.481657909488,19.848,13.345,12.669
10519.671570046268,19.604,13.04,12.588
10616.860774025905,19.24,12.676,12.472
10729.983949743017,18.621,12.16,12.391
10838.95584178281,18.136,11.733,12.228
10913.044520348492,18.345,11.747,12.194
11018.112962673149,19.163,12.148,12.101
11149.258104777951,19.979,12.549,12.031
11254.287512605453,20.379,12.684,11.962
11345.2159853031,19.918,12.289,11.904
11457.71308789201,19.212,11.748,11.857
11543.643649214733,19.806,11.992,11.811
11649.89627981509,17.278,10.395,11.648
11700.734308832572,12.889,7.707,11.753
