RPM,Hp,Nm,afr
3105.8354705235124,4.186,9.342,10.918
3202.051691096672,9.379,19.422,10.86
3382.1996289434614,15.952,31.31,10.813
3642.5412925342353,22.931,42.83,10.79
3916.885708200792,29.205,51.861,10.755
4186.647019573541,33.945,57.154,11.335
4460.437555142949,36.868,58.701,11.973
4724.160099004601,38.272,57.532,12.46
4968.925705191319,38.809,55.112,12.878
5199.828858607774,39.117,52.659,13.191
5429.345766747204,39.483,50.683,13.586
5655.732360608238,39.733,48.967,13.748
5883.301767916779,39.466,46.963,13.887
6087.05593856453,38.461,44.351,13.899
6276.461826543434,36.919,41.328,13.957
6428.532609247141,35.306,38.412,13.864
6590.332485301446,33.936,35.955,13.806
6760.584495067541,32.742,33.888,13.667
6900.268975822542,31.482,31.926,13.597
7039.88839342713,30.124,29.981,13.516
7160.055321337172,28.969,28.309,13.261
7278.2770002777615,28.129,27.007,13.214
7405.279223573481,27.118,25.63,13.122
7512.217673049869,25.241,23.541,13.133
7608.174675892244,22.637,20.862,13.098
7674.61248143964,20.312,18.509,12.913
7757.544350637039,18.915,17.05,12.658
7834.646401822706,18.552,16.568,12.275
7909.669626331856,18.39,16.267,12.263
7984.484968173351,18.634,16.346,12.24
