RPM,Hp,Nm,afr
2419.259474278198,4.14,11.404,10.906
2524.5852272062134,8.806,22.438,10.732
2769.965447928377,14.478,34.731,10.929
3033.8386500559955,20.337,45.972,10.674
3302.552840074852,25.624,54.342,11.126
3574.7428186335237,29.901,59.165,11.254
3851.7679106722167,33.109,60.898,11.66
4133.7640486849505,35.444,60.606,12.078
4408.778066918357,37.193,59.358,12.182
4674.118803921752,38.603,57.872,12.6
4931.012988425416,39.821,56.45,12.866
5181.079138177722,40.856,55.076,13.203
5431.958329330236,41.59,53.561,13.446
5670.952065620004,41.854,51.693,13.423
5895.29465254538,41.535,49.367,13.423
6110.6929001575845,40.656,46.648,13.412
6299.767350957586,39.344,43.71,13.296
6489.20111182706,37.772,40.753,13.365
6659.224820323981,36.078,37.913,13.272
6816.83660945622,34.28,35.186,13.203
6964.232137399916,32.369,32.534,13.029
7100.135125097333,30.47,30.047,12.982
7225.913789518044,29.026,28.108,12.901
7340.20910748366,28.137,26.786,12.82
7465.322849806538,27.045,25.36,12.843
7572.07245118564,25.22,23.337,12.843
7657.539655090864,22.447,20.528,12.681
7737.886929498005,20.531,18.563,12.333
7816.2263660799945,19.005,17.019,12.136
