RPM,Hp,Nm,afr
2949.1878432756484,1.192,2.642,14.409
3173.7267313474326,1.944,4.073,14.34
3459.9223420089147,2.728,5.403,14.316
3770.1644196313555,3.454,6.437,14.166
4038.109157194924,4.068,7.098,14.131
4342.055948832075,4.569,7.429,13.992
4654.073144552082,4.988,7.545,14.189
5002.658970084349,5.358,7.557,14.282
5278.908281114396,5.68,7.516,14.305
5565.804735396208,5.932,7.419,14.316
5902.938089433661,6.097,7.249,14.595
6213.803742718202,6.19,7.02,14.827
6468.4002418214895,6.244,6.772,15.012
6650.316845374203,6.297,6.547,15.256
7017.184002418215,6.356,6.357,15.43
7272.910453221955,6.385,6.165,15.755
7437.059257242727,6.335,5.927,16.033
7699.335064797122,6.225,5.654,16.335
8007.185162108853,6.173,5.441,16.451
8073.731761243998,6.294,5.384,16.764
8379.889732415792,6.541,5.443,16.961
8625.075065956811,6.728,5.463,17.066
8823.931347655283,6.761,5.364,17.193
9031.565320195992,6.428,4.994,17.228
9195.375075065958,5.642,4.306,17.309
9368.213004195339,4.99,3.738,17.321
9439.139181214236,4.813,3.538,17.448
9651.860937988971,5.131,3.715,17.379
9793.828477904859,4.903,3.507,17.564
9906.369602757373,4.384,3.101,17.576
