RPM,Hp,Nm,afr
4442.786649859356,2.746,4.097,15.987
4802.7223735952075,4.024,5.773,15.395
5066.696078419125,5.117,7.03,15.326
5419.417952212774,5.913,7.728,14.908
5736.3126561484305,6.425,7.939,14.792
6027.273649720804,6.734,7.847,14.804
6360.343259011816,6.891,7.598,14.896
6675.272736497208,6.874,7.23,15.047
6907.924624643099,6.662,6.74,15.105
7226.22292604047,6.347,6.205,15.349
7401.0991137961,6.138,5.802,15.221
7619.745672969014,6.243,5.698,15.65
7856.179865310146,6.687,5.898,15.616
8174.856397127041,7.204,6.163,15.72
8407.88299070608,7.382,6.153,15.871
8650.225385163325,7.052,5.739,15.813
8875.6185650064,6.58,5.22,16.01
8992.032055176136,6.398,4.941,15.836
9258.474728696423,6.562,4.947,15.732
9463.926943068318,6.627,4.901,15.674
9640.929118147891,6.421,4.664,15.674
9792.735295920751,5.084,3.65,15.708
9848.147701777507,2.858,2.025,15.848
