RPM,Hp,Nm,afr
3815.9322729117034,1.308,2.228,11.567
4087.387929277926,2.258,3.691,11.474
4369.33481941786,3.226,5.071,11.347
4652.330832935164,4.043,6.098,11.347
4859.438381306762,4.621,6.654,11.463
5224.354434157167,4.981,6.811,11.474
5479.885774541545,5.228,6.76,11.718
5711.06804765283,5.469,6.684,11.741
5966.636606089786,5.751,6.673,12.054
6318.5179652447405,6.045,6.698,12.472
6572.7458362595735,6.258,6.658,12.553
6821.678557135892,6.28,6.446,12.611
7079.022160349351,6.072,6.029,12.704
7296.975063717056,5.71,5.494,12.611
7528.869691802169,5.326,4.974,12.53
7605.701538716639,4.938,4.493,12.6
7832.424458507426,4.447,3.97,12.402
8020.494101479883,3.873,3.408,12.507
8061.652059154611,3.524,3.052,12.565
8168.582424458508,3.735,3.169,12.611
8349.143010657774,4.347,3.616,12.437
8563.887810999553,4.83,3.956,12.252
8710.527853947639,4.84,3.905,12.078
8828.006427778872,4.508,3.58,11.857
8964.919848075902,4.046,3.16,11.776
9068.015163615537,3.344,2.582,11.579
9131.967079275462,2.433,1.863,11.544
