RPM,Hp,Nm,afr
3768.8899829707293,0.803,1.441,18.086
3881.524759886477,1.599,2.705,18.086
4129.708767379377,2.543,4.11,18.086
4422.739088658467,3.5,5.419,18.075
4688.962650587702,4.335,6.416,18.075
4997.207523336916,4.957,6.994,18.075
5318.594924519122,5.351,7.171,18.086
5596.594591789661,5.564,7.067,18.04
5812.1429028875755,5.674,6.83,18.063
6142.141442606639,5.748,6.578,18.086
6371.8300383004,5.809,6.353,18.086
6627.249228995604,5.827,6.13,18.133
6880.771280515455,5.744,5.847,18.086
7084.931432687308,5.524,5.464,18.086
7315.446785652837,5.202,5.011,18.075
7508.365870618263,4.889,4.586,17.97
7630.472348651231,4.707,4.299,18.052
7758.908162017441,4.692,4.178,18.063
8008.672273155386,4.735,4.127,18.086
8149.873849832096,4.64,3.978,18.098
8329.391358493143,4.282,3.623,18.086
8436.747082869182,3.744,3.127,18.075
8550.29722484321,3.301,2.716,18.075
8561.652239040613,3.229,2.607,18.075
8755.006283506711,3.573,2.835,18.063
8863.745661463256,4.085,3.197,18.075
9062.367943629772,4.399,3.405,18.086
9185.044741382846,4.312,3.302,18.086
9282.24619599259,3.91,2.958,18.086
9385.840513638994,3.423,2.557,18.11
9458.782726860589,2.994,2.212,18.086
9568.891517719174,2.811,2.056,18.075
9629.074582235493,2.956,2.141,18.075
9724.49686219706,3.057,2.196,18.086
9845.794057080635,2.912,2.077,18.075
9880.274769946474,2.465,1.747,18.11
9955.246020041004,2.734,1.917,18.086
10070.02791326238,3.458,2.404,18.086
