RPM,Hp,Nm,afr
3991.3742305807564,1.355,2.512,16.01
4008.388281447076,3.374,5.958,16.068
4034.240890000378,6.263,10.76,16.022
4091.25914054643,9.868,16.598,16.01
4161.600140858768,13.839,22.837,15.94
4257.087849137423,17.704,28.678,15.987
4392.512908625084,21.007,33.392,15.929
4508.117270243952,23.451,36.538,15.987
4618.337500220272,24.974,38.08,15.836
4731.421378888007,25.741,38.347,15.732
4834.585436857874,26.05,37.869,15.523
4946.963698324963,26.207,37.165,15.268
5056.861318286105,26.422,36.579,15.001
5163.108812240984,26.765,36.227,14.734
5272.393355450903,27.188,36.038,14.514
5381.981603586328,27.589,35.86,14.351
5491.600222214304,27.885,35.572,14.119
5591.015692324525,28.059,35.143,13.934
5699.61703314998,28.164,34.638,13.725
5798.930775479947,28.292,34.172,13.574
5897.315757960367,28.524,33.845,13.412
5999.009926311501,28.892,33.693,13.11
6101.035013249708,29.373,33.686,12.971
6199.69113019095,29.925,33.766,12.727
6308.216535699509,30.532,33.9,12.426
6410.924746353457,31.208,34.094,11.973
6506.247113810604,31.965,34.356,11.822
6611.037082515082,32.749,34.635,11.567
6716.773811344293,33.414,34.791,11.266
6826.007278041647,33.776,34.649,11.126
6928.786294814476,33.724,34.108,10.894
7027.517804739181,33.307,33.225,10.813
7119.040440267734,32.745,32.222,10.697
7213.244250212341,32.328,31.383,10.593
7300.912053887214,32.273,30.912,10.407
7394.730380646453,32.585,30.806,10.361
7489.16375971413,32.997,30.811,10.314
7580.256582156982,33.064,30.521,10.222
7671.01534893735,32.428,29.616,10.14
7754.936586440126,31.115,28.128,10.129
7838.174071015149,29.606,26.492,10.106
7897.528747307701,28.515,25.252,10.117
7968.103390194688,28.099,24.636,10.082
8050.006215308129,28.063,24.384,10.152
8129.639796788547,27.925,24.068,10.14
8192.03614462731,27.605,23.601,10.21
8259.512892813249,27.535,23.337,10.21
8330.899742889573,28.16,23.645,10.268
8399.275541299268,29.23,24.321,10.291
8487.76260567632,29.841,24.623,10.372
8551.044301804746,29.033,23.777,10.28
8618.609584819651,26.93,21.896,10.407
8669.592917244852,23.923,19.328,10.419
8722.320116466755,22.314,17.902,10.175
8775.221702368326,25.506,20.296,10.535
8851.955159927555,24.46,19.359,10.604
8893.649124240179,21.72,17.101,10.593
