RPM,Hp,Nm,afr
2893.4630634462146,11.409,25.787,12.194
3168.242011866094,17.068,36.561,12.286
3445.8426060945853,22.178,44.85,12.31
3730.3511317751027,26.129,49.588,12.472
4018.863334036406,28.81,51.034,12.716
4296.180811931248,30.55,50.382,12.832
4574.035259107235,31.823,48.966,13.006
4837.035427751215,32.952,47.615,13.075
5088.611518235245,33.977,46.487,13.075
5370.517593541316,34.764,45.344,13.18
5612.389182667015,35.203,43.964,13.214
5837.005789432345,35.313,42.336,13.412
6071.49198998618,35.179,40.58,13.609
6287.087849305367,34.823,38.764,13.806
6494.168907629924,34.169,36.83,14.444
6688.803393830477,33.149,34.71,14.757
6867.285247358507,31.877,32.505,16.045
7035.86962903033,30.634,30.478,17.008
7193.52561320978,29.648,28.829,18.121
7351.745199357789,29.222,27.803,18.075
7501.738937113693,28.906,26.956,18.075
7650.910090030388,28.789,26.327,18.063
7781.778125567456,24.934,22.492,18.063
7857.809714397236,18.416,16.386,18.052
