RPM,Hp,Nm,afr
3292.1730248724853,14.448,29.835,15.523
3387.580938850885,20.947,42.459,15.569
3487.9399120669077,26.973,53.622,15.314
3593.7030821157823,31.952,62.168,15.476
3697.552126393397,35.615,67.646,15.465
3808.5733944575218,38.018,70.316,15.442
3917.8573394457535,39.443,70.914,15.349
4022.058461217304,40.258,70.316,15.372
4135.569482485366,40.791,69.26,15.349
4235.28422097581,41.274,68.223,15.291
4345.892058461218,41.845,67.439,15.291
4447.77102402794,42.581,66.988,15.175
4551.23164785734,43.508,66.86,15.256
4652.395892058463,44.591,66.968,15.082
4760.694134660392,45.708,67.128,15.001
4864.796686193312,46.657,67.068,14.966
4970.934214073876,47.221,66.517,14.908
5072.366148680116,47.292,65.349,14.896
5178.236614868013,46.984,63.731,14.885
5267.369116032256,46.661,62.132,14.908
5362.191457057772,46.806,61.159,14.954
5452.673691160323,47.785,61.253,15.094
5552.5400963887605,49.636,62.437,15.07
5643.526736911604,52.046,64.296,15.036
5765.53449187298,54.545,66.221,15.082
5875.917085550936,56.803,67.784,15.059
5982.682617646004,58.817,68.952,15.117
6079.268261764601,60.852,70.028,15.094
6192.017735267372,63.186,71.342,15.082
6316.201773526738,65.841,72.943,15.082
6429.256540989039,68.507,74.516,15.082
6551.016563189814,70.737,75.598,14.862
6668.738019955346,72.298,75.95,14.92
6790.964711086444,73.433,75.82,14.943
6911.187380199555,74.799,75.871,14.873
7016.482374383593,77.072,76.761,14.711
7144.830055620178,80.413,78.632,14.63
7277.937551016564,84.133,80.82,14.514
7406.6119369198395,86.891,82.084,14.34
7534.8430118738015,87.531,81.393,14.293
7663.029755732837,86.061,78.807,14.258
7774.030248300556,83.801,75.559,14.166
7878.403024830058,82.326,73.09,14.177
7989.476666119369,82.238,71.94,14.061
8111.038575702846,82.998,71.614,14.026
8223.831130297558,83.785,71.351,13.957
8323.474022120667,84.142,70.738,13.934
8441.438311302978,84.88,70.415,13.922
8546.507467493935,86.384,70.71,13.922
8657.650746749396,87.442,70.66,13.968
8769.401438311303,85.185,68.058,13.899
8859.12196201295,80.886,63.904,13.945
8934.366741655842,57.47,45.127,13.945
8936.982128711039,19.725,15.393,13.957
