RPM,Hp,Nm,afr
2013.0356779683611,2.926,9.733,18.086
2121.514464106151,5.531,17.246,18.075
2284.2076854264324,8.527,25.141,18.086
2495.028852901167,11.49,32.003,18.086
2698.009036432472,14.111,36.937,17.959
2893.878232289996,16.326,39.902,18.075
3108.0169972184553,18.291,41.536,18.075
3335.054775293023,20.239,42.662,18.086
3557.0555654027653,22.323,43.816,18.052
3800.6967691940554,24.544,45.094,18.086
4041.7568473939227,26.785,46.285,18.086
4292.049146953804,28.871,47.094,18.086
4538.519501690109,30.623,47.301,18.075
4773.535605705039,31.942,46.863,16.741
5023.223507846427,32.879,45.946,16.103
5245.907588042991,33.558,44.799,15.012
5462.727841405354,34.025,43.54,14.595
5686.8703236835945,34.23,42.14,14.235
5900.672972614406,34.159,40.582,13.852
6086.552358772865,33.971,39.032,13.168
6285.456641852683,33.782,37.615,12.774
6469.8461914260415,33.44,36.171,12.333
6648.039100689178,32.773,34.521,12.112
6811.376845042556,32.744,33.594,11.904
6966.9021836255215,27.491,27.731,11.73
7037.814998678898,18.651,18.514,11.637
