RPM,Hp,Nm,afr
3812.810322551014,11.354,20.246,17.901
3949.1700312640214,16.286,28.444,18.075
4076.9784501036083,20.666,35.289,18.121
4200.363850956844,24.062,40.054,18.075
4358.985840001533,26.35,42.631,18.086
4492.588375873296,27.703,43.448,17.182
4634.3926334247935,28.455,43.203,17.054
4773.449174145256,28.945,42.554,16.312
4908.663054183604,29.4,41.919,14.838
5043.492668153743,29.894,41.427,14.583
5181.851744516069,30.378,41.002,14.328
5316.995878118604,30.758,40.503,14.154
5444.682739447144,30.988,39.854,13.76
5575.191762547293,31.112,39.104,13.446
5702.4151128255935,31.249,38.398,13.191
5825.742006822699,31.52,37.88,13.133
5934.40769919565,31.969,37.599,12.576
6073.718272397266,32.522,37.465,12.913
6201.821777685713,33.007,37.279,12.878
6307.39724218879,33.215,36.816,12.727
6432.127236607384,33.008,35.94,12.704
6555.204795018519,32.421,34.702,12.739
6653.141886835847,31.703,33.375,12.669
6755.700709991813,31.216,32.328,12.727
6865.857484279659,31.192,31.788,12.634
6958.934608685647,31.527,31.641,12.669
7075.278991096514,31.822,31.482,12.681
7176.110654312823,31.66,30.905,12.692
7271.823156610669,30.971,29.842,12.6
7363.455853817658,30.18,28.703,12.565
7451.1126815165535,29.756,27.93,12.623
7541.939811263648,29.588,27.431,12.576
7629.5160822165535,28.407,26.064,12.576
7713.199378291031,25.602,23.284,12.646
7764.382375886587,21.997,19.852,12.6
7815.883232633258,20.356,18.205,12.588
7885.255320290087,24.82,21.951,12.588
7974.253976032974,21.042,18.515,12.553
7990.28961960528,12.986,11.373,12.53
