RPM,Hp,Nm,afr
2326.9672329341533,4.688,13.117,18.075
2502.2449422334676,7.112,19.314,18.086
2679.481661903624,9.213,24.244,18.098
2887.174925530067,10.95,27.6,18.075
3022.262236254136,12.791,30.247,18.075
3161.85697948988,15.424,33.553,18.086
3419.5827439959035,19.14,38.16,18.086
3684.0781701424226,23.354,43.173,17.588
4018.1775824356146,26.767,46.563,16.706
4265.093170928183,28.269,46.726,15.766
4609.202627257891,27.995,44.024,14.525
4749.525823108066,27.433,40.794,13.644
4919.90479777562,28.274,39.551,12.901
5192.477013226736,30.989,40.97,12.646
5502.166902017722,34.37,43.405,12.298
5748.322684988913,36.309,44.172,11.962
6031.834874928082,35.358,41.609,11.614
6147.605729021912,31.804,36.259,11.428
6366.617238871453,27.191,30.097,11.126
6419.806815112167,24.293,26.138,11.022
6636.950273170642,24.602,25.785,10.929
6761.214575536004,26.569,27.249,10.848
6975.378625233879,27.042,27.259,10.778
7082.533518474735,25.091,24.836,10.802
7185.712083385265,18.101,17.723,10.755
7201.073380362854,6.885,6.638,10.72
