RPM,Hp,Nm,afr
2228.6627964836866,2.303,6.437,18.086
2417.58796870787,3.281,8.795,18.075
2617.8624437038,4.198,10.815,18.086
2814.089507326234,4.97,12.287,18.121
3002.1383173353106,5.545,13.12,18.063
3181.5957895070433,5.913,13.343,17.506
3349.829444593698,6.095,13.08,15.964
3509.167205495838,6.134,12.503,14.746
3665.02420615419,6.082,11.782,13.98
3815.3507891374907,5.985,11.054,13.62
3959.9419887026156,5.877,10.398,13.064
4096.186137449915,5.774,9.843,12.774
4216.048556163418,5.681,9.38,12.426
4339.455143524211,5.595,8.985,12.182
4463.216147749734,5.513,8.631,11.938
4579.239081185722,5.43,8.301,11.788
4686.714695066749,5.347,7.989,11.672
4790.744406166943,5.265,7.694,11.602
4891.838356163719,5.185,7.419,11.544
4990.047559224817,5.111,7.167,11.498
5085.377116767011,5.042,6.937,11.405
5177.827538931979,4.978,6.726,11.37
5269.990047559225,4.918,6.532,11.289
5356.941423182026,4.86,6.35,11.289
5440.780514679046,4.804,6.179,11.277
5521.717206938154,4.748,6.016,11.312
5604.954830098806,4.692,5.859,11.347
5685.831375524275,4.633,5.705,11.358
5753.515959049548,4.568,5.551,11.289
5835.428371336817,4.495,5.394,11.312
5908.39888319894,4.415,5.234,11.347
5975.292863367879,4.333,5.078,11.347
6044.170361192833,4.255,4.93,11.277
6110.655039958055,4.186,4.795,11.231
6169.126924341295,4.124,4.675,11.231
6231.979870937009,4.065,4.561,11.231
6300.453265404642,3.998,4.443,11.242
6353.941679707451,3.917,4.314,11.161
6418.887450120456,3.822,4.173,11.103
6472.023102017804,3.723,4.031,11.068
6523.977742063585,3.637,3.905,10.941
6575.814280924209,3.582,3.813,10.906
6622.456668015645,3.562,3.76,10.825
6671.170810755499,3.57,3.738,10.755
6730.456812361538,3.587,3.727,10.767
6783.026487378187,3.589,3.703,10.825
6837.515700561235,3.563,3.651,10.767
6884.423355084915,3.504,3.566,10.732
6927.9816829173205,3.421,3.459,10.755
6973.796248905935,3.33,3.343,10.72
7014.6540970595,3.243,3.234,10.72
7065.380956730904,3.17,3.142,10.732
7106.730034252745,3.115,3.068,10.79
7144.550162734295,3.074,3.011,10.767
7184.608567137153,3.042,2.962,10.836
7227.481969957476,3.008,2.913,10.836
7262.86336014354,2.964,2.855,10.836
7310.451403192856,2.905,2.785,10.813
7338.530744925812,2.842,2.71,10.802
7390.570924780488,2.796,2.652,10.778
7398.366113591293,2.791,2.634,10.825
7461.333732280434,2.845,2.669,10.848
7488.359860752036,2.948,2.751,10.86
7516.974181852554,3.067,2.847,10.894
7574.2502012946625,3.153,2.913,10.918
7618.845365618909,3.167,2.912,10.929
7651.80776113003,3.096,2.834,10.871
7691.380392235842,2.956,2.694,10.894
7716.067021949113,2.784,2.526,10.871
7754.81207647514,2.615,2.362,10.836
7782.007119355767,2.472,2.223,10.836
7815.820673547862,2.363,2.116,10.802
7837.34022474442,2.281,2.036,10.778
7867.995058942773,2.217,1.972,10.732
7889.198738139959,2.157,1.912,10.686
7922.413155963709,2.095,1.852,10.686
7943.872793523436,2.029,1.788,10.697
7964.1569530567585,1.96,1.722,10.628
7989.505906438115,1.889,1.656,10.593
8010.1789975535985,1.82,1.59,10.546
8032.975673267835,1.763,1.537,10.523
8053.3935366166115,1.739,1.511,10.465
8070.982347903505,1.752,1.518,10.523
8090.879424809545,1.775,1.535,10.419
8118.780840753507,1.758,1.516,10.407
8134.5268364745825,1.659,1.428,10.384
8156.830802649379,1.493,1.282,10.372
8164.243540917529,1.314,1.127,10.303
8177.940668871024,1.178,1.008,10.303
8192.266235793053,1.105,0.944,10.268
8206.654646611934,1.072,0.914,10.28
8215.86700016983,1.053,0.897,10.233
8229.7440896523,1.05,0.893,10.198
8241.496481901888,1.05,0.891,10.152
8253.036404428192,1.029,0.872,10.129
8267.146250807504,1.051,0.89,10.21
8276.330747921442,1.091,0.923,10.129
8292.79622258485,1.061,0.896,10.129
8302.216282527199,1.028,0.867,10.117
8313.522971822777,0.968,0.815,10.071
