RPM,Hp,Nm
647.9213333454463,0.264,2.874
648.8921333345447,0.512,5.519
650.7892133334545,0.816,8.751
653.6789213333456,1.162,12.386
658.4678921333345,1.527,16.178
663.4467892133335,1.887,19.865
667.5446789213335,2.22,23.216
673.3544678921334,2.512,26.069
680.2354467892133,2.754,28.343
686.3235446789214,2.944,30.038
693.2323544678922,3.088,31.213
699.3232354467892,3.192,31.962
707.132323544679,3.267,32.391
713.3132323544679,3.32,32.598
720.2313232354469,3.358,32.654
727.2231323235446,3.386,32.608
733.3223132323546,3.405,32.484
740.2322313232356,3.417,32.301
748.1232231323237,3.424,32.085
755.2123223132324,3.433,31.892
759.5212322313233,3.454,31.807
767.1521232231323,3.499,31.943
775.1152123223131,3.583,32.412
781.3115212322314,3.717,33.301
787.3311521232231,3.904,34.637
796.9331152123223,4.142,36.369
804.1933115212321,4.416,38.381
812.1193311521232,4.711,40.512
822.8119331152121,5.008,42.607
831.9811933115213,5.296,44.558
841.8981193311522,5.569,46.319
852.7898119331153,5.829,47.903
861.0789811933115,6.08,49.353
873.607898119331,6.326,50.706
882.9607898119332,6.566,51.968
896.4960789811933,6.796,53.116
905.9496078981194,7.012,54.109
919.494960789812,7.206,54.908
928.9494960789812,7.373,55.484
942.4949496078981,7.51,55.811
952.8494949607899,7.611,55.867
965.5849494960789,7.669,55.618
976.7584949496079,7.678,55.031
987.7758494949609,7.632,54.091
999.6775849494962,7.535,52.825
1009.8677584949494,7.398,51.329
1019.8867758494949,7.246,49.769
1029.8886775849494,7.113,48.372
1040.788867758495,7.035,47.374
1049.9788867758493,7.044,46.972
1058.097888677585,7.157,47.261
1069.7097888677586,7.373,48.216
1080.770978886776,7.676,49.708
1090.8770978886778,8.041,51.554
1102.687709788868,8.442,53.576
1114.6687709788869,8.861,55.647
1126.6668770978886,9.288,57.695
1139.5666877097888,9.716,59.686
1152.556668770979,10.143,61.606
1165.555666877098,10.569,63.453
1180.3555666877098,10.996,65.248
1194.435556668771,11.434,67.04
1208.443555666877,11.895,68.894
1223.3443555666877,12.388,70.858
1239.2344355566686,12.912,72.926
1255.2234435556668,13.456,75.03
1271.2223443555667,13.999,77.059
1288.122234435557,14.521,78.897
1305.1122234435556,15.001,80.448
1323.0112223443557,15.423,81.635
1339.2011222344356,15.771,82.401
1357.0201122234437,16.035,82.711
1375.0020112223442,16.211,82.565
1392.1002011222345,16.297,81.979
1408.2100201122237,16.291,80.97
1425.1210020112226,16.2,79.585
1442.1121002011223,16.055,77.989
1457.3112100201122,15.927,76.516
1474.1311210020115,15.905,75.57
1487.513112100201,16.039,75.37
1505.0513112100202,16.292,75.734
1520.3051311210022,16.541,76.092
1538.0305131121002,16.641,75.791
1552.4030513112098,16.519,74.514
1567.340305131121,16.23,72.512
1582.3340305131123,15.909,70.403
1596.433403051311,15.651,68.621
1609.543340305131,15.447,67.134
1624.3543340305132,15.255,65.749
1638.4354334030515,15.09,64.506
1649.7435433403052,14.994,63.576
1663.4743543340307,14.908,62.71
1677.4474354334031,14.679,61.287
1688.7447435433405,14.249,59.073
1700.674474354334,13.777,56.719
1711.7674474354337,13.623,55.687
1723.6767447435432,13.694,55.594
1735.6676744743543,14.179,57.159
1746.7667674474355,12.256,49.179
1752.3766767447435,8.696,34.717
