RPM,Hp,Nm
820.1901146539102,2.634,22.198
829.919011465391,3.699,30.949
840.7919011465391,4.664,38.724
849.079190114654,5.452,44.865
860.7079190114654,6.032,49.143
869.9707919011465,6.421,51.727
883.4970791901147,6.668,53.049
892.0497079190116,6.829,53.619
904.6049707919013,6.954,53.868
914.8604970791899,7.072,54.063
928.486049707919,7.195,54.304
937.9486049707918,7.321,54.565
950.5948604970791,7.436,54.752
960.859486049708,7.525,54.752
972.6859486049708,7.571,54.456
985.5685948604971,7.563,53.789
994.9568594860498,7.494,52.731
1005.7956859486051,7.374,51.351
1017.6795685948606,7.227,49.82
1026.067956859486,7.091,48.406
1035.9067956859487,7.015,47.413
1046.790679568595,7.038,47.098
1055.9790679568596,7.182,47.578
1064.997906795686,7.439,48.783
1076.6997906795684,7.775,50.481
1088.669979067957,8.147,52.372
1099.7669979067957,8.518,54.213
1112.5766997906799,8.875,55.904
1123.7576699790682,9.227,57.496
1135.675766997907,9.596,59.126
1149.4675766997907,10.002,60.914
1162.5467576699791,10.448,62.889
1176.454675766998,10.926,64.991
1190.4454675766997,11.418,67.113
1205.34454675767,11.91,69.153
1221.234454675767,12.387,71.041
1235.4234454675768,12.84,72.728
1251.2423445467577,13.264,74.196
1267.2242344546758,13.664,75.481
1285.0224234454677,14.065,76.72
1300.3022423445468,14.51,78.125
1316.2302242344547,15.033,79.871
1334.0230224234458,15.629,81.921
1352.0023022423447,16.226,83.924
1370.9002302242345,16.707,85.308
1387.1900230224232,16.969,85.573
1407.7190023022426,16.983,84.61
1424.171900230224,16.823,82.802
1439.3171900230225,16.615,80.796
1456.1317190023021,16.465,79.12
1472.2131719002305,16.401,77.92
1490.021317190023,16.386,77.015
1504.4021317190025,16.377,76.174
1521.1402131719005,16.363,75.329
1535.4140213171902,16.361,74.554
1552.1414021317187,16.378,73.878
1566.4141402131718,16.378,73.154
1582.2414140213173,16.303,72.134
1597.3241414021318,16.118,70.67
1610.5324141402134,15.847,68.868
1625.3532414140213,15.557,67.022
1638.5353241414023,15.309,65.397
1651.5535324141404,15.119,64.06
1665.455353241414,14.955,62.865
1677.6455353241415,14.77,61.618
1690.5645535324143,14.547,60.243
1702.6564553532414,14.319,58.871
1714.6656455353245,14.221,58.048
1726.6665645535325,14.158,57.388
1738.6666564553536,14.683,59.076
1749.7666656455353,11.443,45.862
1751.7766665645538,5.641,22.509
