RPM,Hp,Nm,afr
3859.634913260091,0.63,1.179,18.075
3866.6863828922747,1.468,2.633,18.075
3925.945746722962,2.588,4.517,18.075
4035.9680686482,3.894,6.639,18.075
4138.054638190121,5.239,8.73,18.075
4252.359680686482,6.462,10.521,18.075
4400.4166909602145,7.44,11.823,18.086
4558.35492210807,8.134,12.592,18.075
4691.257178957796,8.593,12.928,18.052
4854.185958859635,8.936,13.03,18.075
4955.057150102832,9.285,13.102,18.075
5101.770775251248,9.714,13.269,18.075
5246.5626196938,10.216,13.534,18.075
5430.198430644078,10.721,13.81,18.075
5591.694541859588,11.147,13.99,18.075
5718.446562619695,11.456,14.018,18.063
5893.772367105344,11.675,13.926,18.075
6034.919405385234,11.881,13.807,18.075
6159.636518851777,12.149,13.752,18.075
6347.77088080084,12.501,13.793,18.075
6470.680702537915,12.886,13.88,18.075
6652.128311217647,13.213,13.919,18.075
6780.875481724175,13.421,13.843,18.017
6949.89477708808,13.533,13.672,18.075
7109.9292367449525,13.661,13.513,18.063
7223.5230441564245,13.957,13.507,18.075
7365.002906825281,14.525,13.749,18.075
7554.813543694577,15.373,14.235,18.075
7710.421113405602,16.406,14.864,18.075
7882.126448689958,17.459,15.481,18.075
8055.441560531647,18.356,15.933,18.075
8241.92969822184,18.952,16.109,18.075
8416.72309030411,19.176,15.972,18.075
8590.347007825592,19.064,15.57,18.075
8744.335905601836,18.775,15.045,18.075
8902.867325499941,18.548,14.587,18.075
9061.852997610236,18.556,14.328,18.075
9207.872046748975,18.773,14.244,18.075
9365.60648178333,19.005,14.189,18.11
9537.524503600021,19.106,14.046,18.075
9684.836787709399,19.163,13.869,18.075
9810.170425758892,19.39,13.808,18.075
9978.848367877095,19.779,13.862,18.075
10132.34266811301,19.944,13.773,18.075
10277.812580064314,19.428,13.241,18.075
10409.468004994382,17.989,12.116,18.075
10507.211860740403,15.748,10.494,18.075
10601.564559568016,12.574,8.31,18.075
10656.541998125476,9.503,6.237,18.144
10694.56986246315,7.742,5.057,18.075
10750.420841668001,6.52,4.239,18.133
10788.536060070415,6.079,3.95,18.075
