RPM,Hp,Nm
632.887878788888,0.27,2.976
633.8887878788888,0.403,4.445
635.788878787889,0.507,5.58
636.8788878787889,0.568,6.248
637.8878887878789,0.597,6.555
639.7887888787878,0.614,6.717
640.878878887879,0.632,6.898
642.7878878887878,0.651,7.088
643.8787887888789,0.657,7.137
645.787878878888,0.631,6.842
646.8787878878887,0.563,6.092
647.887878788789,0.494,5.335
648.8887878788789,0.482,5.193
649.888878787888,0.515,5.54
651.7888878787888,0.568,6.107
652.8788887878789,0.678,7.265
654.7878888787881,0.658,7.042
655.8787888878787,0.564,6.015
