RPM,Hp,Nm
507.23659031001114,8.82,118.743
536.7236590310011,10.589,138.449
564.8723659031001,11.643,146.854
591.0872365903101,12.105,146.145
619.8087236590311,12.261,140.734
646.9808723659031,12.41,135.057
675.7980872365902,12.746,131.869
703.8798087236589,13.32,131.77
732.7879808723658,14.079,133.865
761.7787980872366,14.932,136.819
791.6778798087236,15.807,139.639
822.5677879808726,16.662,141.866
852.6567787980873,17.462,143.341
882.6656778798088,18.162,143.905
913.5665677879808,18.703,143.291
944.5566567787981,19.032,141.278
972.8556656778796,19.143,137.928
1000.885566567788,19.092,133.712
1027.9885566567789,18.983,129.39
1054.0988556656778,18.931,125.724
1079.2098855665677,19.016,123.181
1106.0209885566567,19.249,121.75
1131.2020988556658,19.563,120.944
1156.2202098855664,19.833,119.974
1182.1220209885569,19.933,118.101
1206.3122020988556,19.802,115.028
1229.4312202098856,19.506,111.169
1251.5431220209887,19.23,107.582
1273.5543122020988,19.173,105.323
1295.55543122021,19.383,104.608
1317.555543122021,19.631,104.197
1340.455554312202,19.548,102.178
1360.7455554312203,19.155,98.642
1379.874555543122,18.781,95.275
1398.887455554312,18.786,93.872
1419.6887455554313,18.483,91.149
1437.068874555543,17.489,85.214
1450.506887455554,13.61,65.813
1455.4506887455555,7.445,35.741
