RPM,Hp,Nm,afr
2652.9176820438333,0.361,0.932,18.075
2929.291768204383,0.877,1.938,18.075
3352.9291768204384,1.592,3.122,18.086
3892.0929176820437,2.453,4.28,18.086
4507.6092917682045,3.392,5.239,18.075
5152.360929176822,4.343,5.92,18.063
5843.236092917682,5.245,6.324,18.075
6567.5236092917685,6.05,6.5,18.075
7259.152360929178,6.714,6.501,18.052
7940.315236092918,7.193,6.358,17.367
8577.231523609293,7.433,6.076,16.265
9188.12315236093,7.42,5.672,15.268
9731.612315236094,7.204,5.198,14.479
10189.161231523609,6.923,4.746,14.119
10659.716123152362,6.672,4.373,13.992
11081.171612315236,6.476,4.08,14.084
11483.317161231525,6.139,3.743,14.108
11818.731716123155,5.561,3.297,14.525
12068.273171612316,4.323,2.514,14.479
12179.627317161234,2.538,1.456,14.653
