RPM,Hp,Nm,afr
3037.6362145397957,1.09,2.391,13.261
3325.6866983770565,1.961,3.964,13.62
3686.7994390684753,2.97,5.523,13.934
4091.5645592914634,4.014,6.823,14.235
4537.041071313762,5.013,7.745,14.467
5028.127184054453,5.908,8.286,15.291
5487.428103020829,6.633,8.487,16.184
5969.512041071313,7.114,8.38,16.3
6412.335819491746,7.291,7.992,16.172
6809.6951204107145,7.14,7.361,15.662
7145.392588964148,6.638,6.507,15.175
7448.962335819491,5.825,5.483,14.85
7655.857772043487,4.649,4.251,14.63
7806.355007973578,3.519,3.144,14.688
7904.481654643513,2.931,2.578,15.279
8049.294319310504,2.407,2.086,15.766
8131.275585777203,2.09,1.808,16.799
