RPM,Hp,Nm,afr
2692.14358909807,0.814,1.976,12.82
3000.3682050636535,1.63,3.587,12.739
3347.921435890981,2.628,5.288,12.808
3766.9075282044837,3.694,6.771,12.843
4234.575368205064,4.729,7.845,13.203
4717.495998358969,5.667,8.481,13.516
5196.749599835897,6.462,8.747,14.038
5696.405729214359,7.068,8.723,14.537
6166.948265229127,7.42,8.447,15.186
6598.233288061374,7.438,7.911,15.662
6978.8617903446,7.02,7.066,15.488
7297.309255957536,6.123,5.903,15.465
7536.846310211139,5.021,4.676,15.349
7680.223092559575,4.112,3.718,15.268
7839.945386179034,3.599,3.181,15.569
8032.456077079442,3.122,2.72,16.752
8119.207146169483,2.285,1.975,17.356
8148.651483847717,1.395,1.197,17.182
8156.788225307847,0.368,0.317,17.785
