RPM,Hp,Nm,afr
3040.90484633595,1.077,2.163,13.574
3582.6619132050237,1.939,3.551,14.073
4095.704614965823,2.886,4.822,14.189
4659.077850659144,3.806,5.755,14.142
5220.8338934403,4.641,6.296,13.818
5809.029202151911,5.373,6.526,13.934
6433.119668983666,5.98,6.548,14.212
7014.2479274894995,6.42,6.42,14.212
7591.079965162744,6.651,6.158,13.922
8087.679425087703,6.678,5.787,13.272
8576.255627237835,6.548,5.356,12.739
8997.527040556297,6.298,4.901,12.147
9405.417728686172,6.085,4.526,11.648
9785.369359075514,6.042,4.308,11.358
10135.926098469126,6.003,4.127,11.416
10543.395565511937,5.766,3.844,11.498
10796.950393989617,5.393,3.493,11.741
11061.714743832461,4.379,2.78,11.904
11187.944873398024,2.876,1.795,12.031
