RPM,Hp,Nm,afr
3141.248549196217,0.804,1.639,15.778
3506.2430815206067,1.548,2.87,15.268
3981.6587909106815,2.404,4.092,14.792
4508.018095839837,3.262,5.072,14.479
5046.1220066283195,4.064,5.722,14.305
5578.750131697315,4.827,6.107,14.34
6164.0326486377135,5.584,6.348,14.444
6781.181589986923,6.317,6.509,14.653
7388.216681166181,6.928,6.555,14.734
7994.24038732844,7.31,6.427,14.711
8546.960984545653,7.427,6.118,14.479
9027.848807814173,7.329,5.693,14.154
9501.553353687823,7.137,5.258,13.829
9941.288340294892,6.948,4.886,13.47
10337.724893142791,6.8,4.59,13.377
10736.48184892019,6.527,4.257,13.562
11068.968381936353,6.091,3.853,13.876
11334.975655927627,4.847,3.004,13.899
11454.679831602614,2.973,1.813,13.818
