RPM,Hp,Nm,afr
4032.5151472667158,1.897,3.259,18.052
4045.200667269044,3.119,5.312,18.075
4092.2319311336837,4.409,7.457,18.052
4142.697769384556,5.637,9.465,18.075
4185.879946429982,6.683,11.137,18.075
4239.774435320965,7.472,12.347,18.144
4290.926596074469,7.983,13.068,18.075
4334.177405370158,8.249,13.363,18.075
4384.265198164136,8.337,13.356,18.052
4435.03668930794,8.33,13.188,18.063
4478.249431642659,8.302,12.989,18.063
4528.333417740538,8.31,12.851,18.098
4582.9180875367665,8.387,12.823,17.97
4630.3257070587615,8.546,12.92,17.889
4673.2020622313,8.778,13.125,17.39
4723.252409612961,9.06,13.401,17.054
4774.0201562155335,9.36,13.697,16.938
4832.486761384265,9.646,13.964,16.602
4891.7232524096125,9.891,14.17,16.416
4943.409613376555,10.089,14.3,16.045
4998.15452065969,10.246,14.368,15.894
5045.578163930376,10.382,14.402,15.662
5099.896799443885,10.519,14.435,15.476
5158.718493503711,10.679,14.498,15.256
5217.990493418168,10.881,14.615,14.838
5269.68040527402,11.141,14.805,14.827
5324.425667646047,11.479,15.09,14.711
5387.103583713758,11.913,15.487,14.583
5446.761205829003,12.459,16.012,14.444
5509.930357871037,13.12,16.662,14.398
5573.45066290575,13.889,17.424,14.247
5644.633201883796,14.743,18.265,14.235
5720.39552357821,15.656,19.146,14.212
5800.429382866296,16.594,20.025,14.096
5877.076836591716,17.52,20.857,14.026
5957.199209082901,18.396,21.6,14.038
6041.482632772697,19.185,22.218,13.957
6129.995720904389,19.87,22.697,13.934
6222.745334802305,20.465,23.057,13.852
6312.105041954806,21.025,23.356,13.899
6397.3121991107355,21.627,23.68,13.887
6482.104101267007,22.335,24.096,13.841
6578.295155889413,23.167,24.623,13.725
6675.626125758434,24.07,25.21,13.678
6773.071087152114,24.945,25.755,13.69
6874.341007020297,25.693,26.159,13.632
6975.993422735928,26.263,26.371,13.609
7081.497647358339,26.674,26.412,13.632
7175.9463749053275,26.991,26.351,13.609
7261.662434100703,27.274,26.254,13.528
7365.573023071089,27.536,26.143,13.504
7475.116624341008,27.735,25.985,13.435
7562.342170908677,27.795,25.712,13.458
7662.5901492942585,27.633,25.255,13.435
7752.699692895528,27.198,24.573,13.354
7837.981833696332,26.508,23.691,13.365
7926.594793539126,25.698,22.73,13.319
8007.913716642049,25.034,21.913,13.319
8088.503236070985,24.84,21.508,13.261
8169.019815132524,25.328,21.681,13.18
8241.901981513252,26.417,22.357,13.145
8314.020706625904,27.685,23.182,13.133
8447.080036764286,28.541,23.67,13.029
8532.843596896768,28.535,23.455,13.052
8606.250461384592,27.604,22.493,13.006
8682.235215629986,26.085,21.068,13.064
8747.037080885033,24.499,19.61,12.994
8818.347775885113,23.264,18.46,12.994
8886.495794537665,22.534,17.738,12.948
8950.513986233429,22.228,17.369,12.808
9014.119195233514,22.141,17.182,12.913
9077.68310596403,22.018,16.971,12.901
9141.24288686759,21.559,16.51,12.762
9197.175136144388,20.497,15.605,12.924
9256.158191580542,18.829,14.259,12.832
9300.192090344495,17.013,12.819,12.878
9342.73107344123,15.802,11.842,12.948
9369.866327683107,15.643,11.656,12.948
9422.156124293735,16.134,11.962,12.901
9480.774934463272,16.138,11.919,12.982
9520.95884937853,14.815,10.91,12.971
9551.672156124296,12.737,9.354,13.04
9573.81128340904,11.748,8.588,12.994
9602.720111391753,13.087,9.512,13.064
9655.187265376464,15.849,11.464,13.145
9721.450929927478,17.91,12.905,13.145
9758.585770958849,17.233,12.374,13.168
9796.621288960294,14.942,10.689,13.214
9823.306196692642,12.979,9.244,13.261
9856.483162042146,10.71,7.604,13.249
9875.055095865231,8.365,5.929,13.249
