RPM,Hp,Nm,afr
4554.627091170543,1.595,2.444,17.912
4574.301236029236,2.579,3.929,17.82
4606.863551364963,3.641,5.52,18.086
4629.241595929698,4.702,7.087,18.086
4669.723026448494,5.697,8.532,18.075
4712.014795562696,6.592,9.798,18.086
4750.663235930207,7.382,10.879,18.086
4788.947343423049,8.081,11.796,18.086
4846.316830659585,8.707,12.582,18.086
4894.121768051795,9.273,13.259,18.075
4948.618975672035,9.783,13.839,17.634
5007.609772921312,10.239,14.327,17.483
5059.4012039210265,10.647,14.734,17.077
5118.121423508251,11.023,15.084,16.81
5177.534521954225,11.391,15.409,16.451
5237.016908286075,11.773,15.74,16.091
5296.506223406511,12.184,16.097,15.964
5363.644956618272,12.629,16.489,15.523
5423.899906426699,13.108,16.912,15.175
5494.939565713491,13.625,17.37,14.873
5559.408970735655,14.201,17.883,14.757
5634.694438150054,14.869,18.485,14.676
5707.237149197442,15.66,19.208,14.537
5779.5055846081295,16.58,20.055,14.293
5859.395317667611,17.592,20.979,14.398
5947.69590570444,18.618,21.89,14.421
6033.013216632767,19.567,22.686,14.189
6129.5052876689415,20.38,23.298,14.224
6219.466109503438,21.051,23.725,13.829
6308.773806417766,21.633,24.028,14.166
6394.191828233845,22.203,24.296,14.073
6494.518332965029,22.819,24.601,13.945
6584.862598169023,23.505,24.969,14.026
6689.506089845232,24.249,25.386,13.98
6780.28205374373,25.032,25.828,14.073
6884.968715289387,25.847,26.28,13.91
6991.046446599759,26.689,26.738,13.922
7081.9658344616755,27.54,27.183,13.91
7194.315563616139,28.352,27.574,13.876
7301.159601687394,29.054,27.849,13.957
7411.277433256559,29.57,27.941,13.992
7510.249556356818,29.824,27.791,13.98
7615.755833822651,29.751,27.353,14.084
7714.266801512577,29.327,26.62,14.015
7815.902600831145,28.608,25.652,13.957
7906.377795493879,27.758,24.597,13.945
7991.9125670848,26.983,23.638,14.142
8073.128933762304,26.419,22.887,14.073
8157.737822554701,26.032,22.317,14.038
8242.685963558588,25.668,21.79,14.015
8327.668029783621,25.182,21.182,14.154
8401.180400712072,24.553,20.469,14.131
8469.721439504636,23.878,19.733,14.166
8541.58970768984,23.301,19.091,14.131
8617.615061420543,22.928,18.629,14.096
8682.583035887099,22.771,18.352,14.108
8750.269635033468,22.747,18.19,13.957
8818.228096647823,22.765,18.066,13.992
8893.86246972144,22.795,17.952,13.922
8951.142620909823,22.838,17.85,13.887
9021.884800334608,22.826,17.707,13.922
9090.148819976805,22.644,17.439,13.794
9150.516298428274,21.888,16.746,13.818
9210.094122760675,20.384,15.501,13.841
9261.944256468703,18.87,14.266,13.748
9305.372895901828,17.815,13.391,13.725
9359.43247372616,17.689,13.225,13.702
9403.082057570917,14.688,10.943,13.69
9422.744466380322,9.826,7.298,13.725
