RPM,Hp,Nm,afr
3839.6343845780407,2.898,5.201,13.052
3887.0795857665858,4.302,7.653,13.122
3933.8920945539962,5.668,9.998,12.901
3995.938784526221,6.871,12.01,13.203
4040.387079585767,7.829,13.547,13.087
4094.548622972741,8.514,14.567,13.122
4161.154579011155,8.953,15.125,13.052
4209.883163283552,9.202,15.336,13.098
4272.121460804276,9.331,15.331,13.11
4328.062004437368,9.398,15.222,12.994
4379.548410075466,9.439,15.077,13.006
4438.238127126527,9.467,14.923,13.04
4501.472537925118,9.482,14.762,13.04
4553.688330279763,9.485,14.593,13.052
4604.802260790017,9.488,14.43,13.075
4659.630367722061,9.516,14.306,13.04
4714.829892296286,9.602,14.265,13.064
4770.066558634729,9.772,14.344,13.18
4821.48257654336,10.036,14.554,13.145
4876.340892215242,10.38,14.872,13.122
4935.367800269683,10.765,15.243,13.168
4998.635930168612,11.148,15.605,13.156
5062.328182251988,11.498,15.912,13.122
5122.238483947578,11.81,16.156,13.145
5185.594953210622,12.111,16.371,13.087
5249.296039230411,12.444,16.614,13.006
5309.207224319641,12.85,16.94,13.098
5372.563781922049,13.35,17.373,13.029
5443.91360198824,13.937,17.906,12.959
5516.0627483008075,14.593,18.509,12.994
5595.940552450477,15.3,19.156,12.994
5668.942497171394,16.055,19.833,13.006
5745.081218555667,16.862,20.541,13.017
5821.533617606276,17.721,21.28,12.971
5913.3148348484465,18.614,22.029,13.064
5995.155846091077,19.508,22.754,13.087
6091.300287158683,20.368,23.414,13.168
6185.050708602555,21.181,23.994,13.191
6274.73736547782,21.961,24.508,13.18
6371.666371108688,22.739,24.993,13.18
6461.670886402655,23.542,25.478,13.33
6566.280403087857,24.364,25.963,13.319
6668.526057305953,25.172,26.42,13.226
6766.710962671105,25.924,26.803,13.354
6875.96288096966,26.591,27.086,13.33
6978.672775349091,27.173,27.269,13.272
7080.728467336608,27.681,27.368,13.354
7178.894376478703,28.117,27.393,13.342
7288.144395154953,28.458,27.329,13.388
7390.854099572151,28.656,27.139,13.388
7492.9097725634465,28.669,26.788,13.307
7594.900042412152,28.469,26.258,13.307
7681.586321521669,28.048,25.548,13.412
7782.039651982196,27.411,24.673,13.307
7864.7478745466615,26.578,23.656,13.296
7957.154674140219,25.607,22.552,13.296
8027.585155799291,24.608,21.457,13.319
8114.939818696076,23.739,20.501,13.307
8177.216361473008,23.154,19.808,13.226
8248.45818005665,22.937,19.442,13.156
8328.245251433427,23.059,19.369,13.18
8405.062485483288,23.365,19.455,13.145
8470.109647981757,23.634,19.513,13.11
8549.277253750017,23.672,19.385,13.191
8626.032541239025,23.416,19.022,13.18
8691.073509081409,22.986,18.525,13.238
8758.767407565365,22.632,18.093,13.075
8819.077873901013,22.57,17.897,13.087
8897.771810052991,22.805,17.938,12.982
8955.35791754921,23.096,18.03,13.087
9033.779417817244,23.136,17.933,13.11
9098.987006937532,22.758,17.518,13.122
9159.048842336812,21.987,16.81,13.064
9214.771739757762,20.937,15.903,13.122
9273.885105987109,19.765,14.922,13.18
9329.513156491063,18.742,14.068,13.11
9369.495224997549,18.038,13.464,13.052
9423.210145729216,17.435,12.947,13.04
9470.64962647094,16.511,12.207,12.971
9513.637200607434,15.274,11.245,12.982
9544.70649626471,14.351,10.52,12.936
9586.05705189276,13.864,10.121,12.901
9624.611370911656,13.859,10.077,12.878
9659.061703663405,12.28,8.904,12.866
9681.62854996974,9.677,6.996,12.808
