RPM,Hp,Nm,afr
3138.3329434261723,1.032,2.291,13.087
3151.121429935838,1.628,3.585,13.098
3167.65451587494,2.268,4.955,13.098
3196.0027397230874,2.884,6.26,13.064
3229.3460366841737,3.413,7.356,13.075
3263.188840956553,3.801,8.138,13.017
3297.0815959600627,4.026,8.557,13.11
3346.2335833248203,4.096,8.638,13.04
3366.4030193494314,4.05,8.469,13.098
3391.301318884096,3.944,8.171,13.017
3416.6725047697664,3.835,7.868,13.064
3438.2774199685027,3.768,7.656,13.029
3478.573504708715,3.771,7.59,12.971
3509.2980284369737,3.851,7.681,13.122
3535.251836742002,4.0,7.908,13.006
3572.1692514708107,4.201,8.233,12.982
3594.9287895538605,4.435,8.614,12.982
3627.7132179384375,4.682,9.013,12.994
3672.940813319267,4.934,9.41,13.017
3711.7856067556568,5.189,9.801,13.11
3749.9921199975997,5.457,10.202,13.133
3788.1348052200997,5.754,10.64,13.33
3833.898226284722,6.098,11.142,13.504
3868.983042967456,6.494,11.718,13.702
3918.254236500135,6.932,12.349,13.806
3972.7576270398445,7.382,12.983,13.864
4020.157118636189,7.802,13.551,13.899
4082.1004576263317,8.154,13.987,14.108
4134.057503389752,8.41,14.251,14.258
4188.829479152535,8.569,14.343,14.351
4243.882947915254,8.652,14.301,14.386
4291.337447333898,8.692,14.186,14.641
4345.6591684622035,8.724,14.057,14.618
4400.667611761475,8.766,13.949,14.804
4448.117608633775,8.821,13.868,14.873
4502.438879507446,8.88,13.803,15.198
4553.633718459219,8.939,13.742,15.198
4608.329473540837,9.006,13.695,15.256
4663.37532023544,9.106,13.692,15.511
4710.829057447273,9.266,13.772,15.43
4757.523583710829,9.5,13.955,15.291
4811.769307523626,9.794,14.218,15.291
4866.770151091347,10.104,14.503,15.233
4929.473625278627,10.376,14.732,15.43
4989.133803205828,10.571,14.852,15.117
5040.862532862957,10.686,14.856,15.036
5099.425236337143,10.755,14.792,14.896
5151.044218548969,10.837,14.741,14.838
5201.968828634559,10.992,14.785,14.734
5260.451120151592,11.262,14.979,14.746
5323.502739133804,11.664,15.339,14.664
5383.1977315405,12.192,15.851,14.63
5446.370620611678,12.826,16.482,14.56
5506.077740027271,13.539,17.192,14.514
5576.878960443404,14.309,17.948,14.502
5652.6031502816295,15.12,18.725,14.351
5728.819637062062,15.957,19.503,14.351
5801.271794214681,16.802,20.261,14.34
5880.974637048587,17.63,20.97,14.282
5965.216107772657,18.404,21.592,14.305
6049.911441285742,19.096,22.099,14.282
6134.652161077728,19.7,22.487,14.293
6227.024538141671,20.252,22.798,14.2
6308.71940296671,20.813,23.101,14.2
6396.973635211926,21.442,23.459,14.247
6482.070244877125,22.158,23.894,14.224
6582.105329572459,22.921,24.365,14.189
6676.007143126739,23.64,24.778,14.212
6769.295629566912,24.211,25.032,14.177
6870.149901939742,24.579,25.074,14.108
6952.692956295669,24.775,24.94,14.177
7056.286244782108,24.922,24.754,14.131
7150.5438787155,25.169,24.663,14.084
7228.6137099054495,25.601,24.748,13.968
7327.946116753257,26.173,24.968,14.038
7429.404781166851,26.735,25.182,13.98
7523.4489526929565,27.131,25.242,13.899
7624.378793574381,27.281,25.075,13.91
7703.115845459133,27.175,24.678,13.945
7802.514974376421,26.812,24.067,13.771
7881.098955064762,26.189,23.251,13.655
7976.669217540374,25.362,22.285,13.655
8051.056752262512,24.509,21.323,13.597
8119.512454887268,23.85,20.548,13.504
8198.81565226839,23.493,20.05,13.47
8267.762921159043,23.376,19.772,13.458
8354.74239381082,23.398,19.62,13.33
8420.643730906506,23.545,19.571,13.226
8488.250813768618,23.789,19.601,13.261
8571.282708495508,23.978,19.588,13.18
8640.602847120737,24.018,19.459,13.156
8719.992488101903,24.089,19.352,13.18
8781.321282708497,24.382,19.418,13.191
8859.911789287798,24.782,19.571,13.214
8940.228467064373,24.977,19.566,13.087
9005.46352467254,24.651,19.161,13.075
9076.817538907932,23.959,18.483,13.122
9141.15633016198,24.08,18.427,13.087
9204.793599117893,19.54,14.881,13.145
9226.41156330162,11.868,8.996,13.11
