RPM,Hp,Nm,afr
4273.865413935774,1.586,2.578,18.075
4311.400625970345,3.042,4.813,18.075
4405.083724568865,4.741,7.346,18.075
4547.550625978014,6.467,9.822,18.075
4694.895907668224,8.011,11.906,18.075
4842.729027386542,9.242,13.407,18.086
4984.272902738655,10.14,14.315,18.086
5125.187853654148,10.776,14.765,18.075
5291.392024802034,11.256,14.946,18.075
5447.449061635133,11.667,15.015,17.808
5602.491385036753,12.051,15.052,16.88
5757.432237095226,12.406,15.067,15.801
5918.700970188396,12.713,15.036,14.896
6074.264463216024,12.954,14.936,14.583
6229.257432237097,13.129,14.77,14.177
6371.517292519485,13.251,14.553,13.899
6525.179898266033,13.332,14.306,13.644
6667.306722220969,13.377,14.038,13.481
6814.617996165759,13.369,13.737,13.412
6949.771658771506,13.282,13.379,13.365
7077.371532074335,13.096,12.949,13.238
7216.892082784899,12.829,12.463,13.214
7338.590616729194,12.54,11.977,13.168
7452.16892082785,12.31,11.564,13.133
7558.597173772926,12.195,11.274,13.11
7683.324506109688,12.191,11.098,12.959
7797.205690047589,12.235,10.977,12.936
7910.002259145605,12.249,10.839,12.89
8022.690366759632,12.189,10.642,12.774
8122.691571887231,12.061,10.392,12.785
8234.100143104217,11.888,10.112,12.785
8327.6353664231,11.683,9.816,12.855
8432.059311290199,11.448,9.506,12.878
8524.896071974092,11.198,9.197,13.064
8616.574114239664,10.974,8.916,13.122
8701.79825649439,10.794,8.678,13.203
8792.715036917047,10.635,8.465,13.284
8877.86305298748,10.465,8.251,13.214
8962.434192622692,10.25,8.008,13.272
9034.271588276355,9.948,7.704,13.214
9117.51166586989,9.485,7.287,13.203
9182.877927150368,8.908,6.793,13.11
9246.456806799546,8.515,6.445,13.064
9309.85694828559,8.39,6.304,12.994
9379.577244124335,8.919,6.65,12.924
9443.591527229335,7.078,5.257,12.866
9456.330983708849,3.695,2.732,12.866
