RPM,Hp,Nm,afr
3688.879578868735,1.619,3.014,18.086
3747.0569719713812,2.95,5.334,18.075
3854.2831619858707,4.46,7.875,18.075
3998.104372536616,5.963,10.287,18.075
4145.585085140986,7.284,12.259,18.075
4293.431747950719,8.317,13.619,18.086
4434.976977611974,9.047,14.37,18.075
4588.568120296409,9.538,14.659,18.075
4737.025826114149,9.888,14.684,18.086
4884.970188245217,10.19,14.624,18.075
5039.201244176635,10.502,14.586,18.11
5200.398997657102,10.844,14.605,17.611
5343.279336385429,11.213,14.668,16.462
5497.003989976572,11.593,14.745,15.65
5651.813075053996,11.969,14.812,14.978
5819.406659618077,12.329,14.853,14.247
5956.588553285752,12.664,14.861,13.829
6122.419418708856,12.963,14.829,13.446
6265.76306863145,13.217,14.749,13.098
6432.210109680046,13.413,14.615,12.878
6569.277348996175,13.537,14.417,12.797
6722.420692646097,13.578,14.148,12.658
6858.157562222356,13.534,13.811,12.716
7004.829840729279,13.421,13.425,12.658
7139.91960379124,13.268,13.022,12.716
7261.175058970674,13.108,12.632,12.669
7387.385111530872,12.963,12.275,12.681
7514.090623829144,12.833,11.953,12.611
7640.845682101225,12.716,11.658,12.437
7748.591610463644,12.615,11.392,12.495
7867.112682173126,12.549,11.164,12.414
7980.373240048298,12.525,10.983,12.391
8093.107746540042,12.514,10.82,12.46
8199.451619724428,12.44,10.615,12.437
8311.49445774709,12.245,10.319,12.565
8417.76916408457,11.963,9.961,12.681
8510.7910009155,11.725,9.647,12.774
8602.487550795775,11.648,9.468,12.832
8700.389600150002,11.704,9.402,12.971
8805.250227620636,11.659,9.268,13.029
8898.130656564881,11.255,8.866,13.11
8983.475037487475,10.569,8.255,13.18
9055.389757269875,10.241,7.92,13.238
9138.637567276284,10.929,8.349,13.203
9223.018686305093,12.146,9.175,13.145
9364.55538975727,12.668,9.485,12.901
9442.089341792629,11.471,8.528,12.843
9494.208934179263,9.739,7.185,12.658
9556.463146939055,9.523,6.96,12.542
9632.406878074189,6.915,5.029,12.46
9633.663223018686,3.02,2.192,12.542
