RPM,Hp,Nm,afr
3799.359147957748,2.457,4.375,18.063
3884.8654922605633,4.034,7.012,18.086
4032.8527464091553,5.664,9.631,18.086
4187.088091542324,7.14,11.863,18.075
4335.610217604937,8.313,13.464,18.086
4477.22299359148,9.138,14.382,18.075
4630.820890908444,9.674,14.748,18.086
4779.279272189437,10.035,14.788,18.063
4927.223701866831,10.338,14.72,17.831
5081.45476455288,10.662,14.685,16.892
5236.314490539795,11.036,14.732,15.732
5403.913139194825,11.453,14.846,14.769
5541.095539271596,11.89,14.982,14.421
5706.9264553356115,12.321,15.103,13.852
5869.284194829338,12.723,15.18,13.296
6018.618560328005,13.079,15.197,13.052
6192.002701103223,13.378,15.149,12.89
6329.763650392013,13.616,15.037,12.565
6501.990449546243,13.79,14.866,12.484
6633.297636503921,13.888,14.629,12.437
6798.541031256028,13.884,14.308,12.379
6935.487905942506,13.748,13.881,12.402
7069.605128622421,13.479,13.352,12.437
7209.777414270695,13.131,12.773,12.472
7337.879149877774,12.811,12.244,12.507
7439.421717804679,12.626,11.86,12.565
7563.660481639624,12.617,11.653,12.53
7690.168865065372,12.721,11.564,12.542
7810.566182281186,12.803,11.467,12.472
7930.352392876006,12.733,11.247,12.426
8037.401436470701,12.466,10.866,12.379
8149.514791534394,12.067,10.381,12.391
8243.120493237948,11.672,9.914,12.507
8341.2134577745,11.422,9.581,12.507
8439.755148594351,11.378,9.428,12.669
8538.341712042535,11.459,9.387,12.658
8630.594734584536,11.479,9.302,12.959
8734.890459373948,11.278,9.049,12.982
8821.376369881058,10.883,8.646,13.11
8899.743270790923,10.498,8.258,13.214
8977.298270741065,10.302,8.024,13.226
9067.44813693326,10.252,7.911,13.238
9146.181433411637,10.086,7.719,13.203
9223.773072918628,9.658,7.334,13.145
9288.574490390456,8.951,6.75,13.156
9352.096885658764,8.452,6.326,13.064
9415.491378706723,9.154,6.793,12.959
9491.549137870672,7.598,5.613,12.808
9511.830970125096,4.751,3.494,12.843
