RPM,Hp,Nm,afr
2232.4010330326855,0.659,2.554,18.075
2265.432794333169,2.648,8.344,18.086
2352.456900695776,5.962,17.159,18.075
2503.1858894051256,10.451,27.997,18.075
2715.600980967091,15.578,38.996,18.075
2974.550131319301,20.617,48.182,18.063
3241.1427207731267,24.982,54.341,18.075
3509.994670748409,28.482,57.473,18.075
3774.587506941951,31.321,58.539,18.086
4043.2394815912057,33.847,58.72,18.075
4315.287403308623,36.269,58.736,18.086
4595.1500027893335,38.548,58.675,18.075
4863.83393715601,40.49,58.271,18.075
5126.914955177395,41.981,57.355,18.086
5384.950631730364,43.08,56.04,18.075
5632.016657857423,43.757,54.375,18.075
5872.005652496706,43.776,52.191,18.086
6100.821827708142,42.921,49.301,18.075
6301.6104219734725,41.292,45.872,18.063
6492.121175087714,40.077,43.14,18.075
6662.168928140001,33.125,34.93,18.075
6740.469384508353,22.146,22.957,18.075
