RPM,Hp,Nm,afr
6206.421951699368,3.746,4.104,16.161
6370.95865086614,5.378,5.805,16.068
6541.209789137247,6.827,7.255,15.836
6720.5766751162555,7.946,8.297,15.534
6883.7665282711205,8.689,8.892,15.279
7028.250070548632,9.108,9.111,14.92
7213.584500725749,9.312,9.088,14.746
7377.371108300424,9.418,8.962,14.56
7547.547237412321,9.507,8.828,14.514
7692.729407285537,9.617,8.729,14.444
7886.678004019694,9.752,8.664,14.409
8034.237420655134,9.9,8.619,14.351
8194.246526875639,10.048,8.578,14.282
8355.500602054652,10.187,8.53,14.328
8516.879174129515,10.305,8.468,14.27
8678.270195893963,10.39,8.383,14.224
8831.118158829902,10.434,8.271,14.2
8983.111815882989,10.441,8.136,14.177
9152.10864994273,10.425,7.99,14.096
9262.995675120856,10.402,7.844,14.05
9427.881845993097,10.377,7.704,13.968
9581.079323839815,10.348,7.568,13.945
9698.930717194107,10.308,7.431,13.783
9847.424717289032,10.265,7.298,13.667
9990.438674260547,10.234,7.177,13.586
10107.27171552732,10.219,7.07,13.516
10238.575272818554,10.194,6.962,13.435
10371.325881712235,10.103,6.816,13.284
10504.221195766158,9.897,6.602,13.18
10620.042372741173,9.576,6.32,13.075
10725.611832210825,9.206,6.012,12.971
10830.156119929941,8.879,5.739,12.89
10934.597890474008,8.663,5.543,12.797
11030.485105503098,8.56,5.425,12.75
11142.605472575628,8.521,5.353,12.704
11239.260547257563,8.49,5.288,12.623
11334.36909270044,8.425,5.203,12.658
11429.32298521941,8.311,5.09,12.518
11524.26141244599,8.158,4.957,12.46
11619.198293143334,8.003,4.824,12.402
11697.046411592813,7.889,4.719,12.344
11790.274261412445,7.838,4.653,12.263
11876.495780571624,7.826,4.611,12.286
11962.016666664756,7.781,4.553,12.24
12047.467489451283,7.617,4.427,12.101
12124.367002109684,7.33,4.233,12.124
12200.41138375527,7.03,4.034,12.136
12267.82594850211,6.767,3.86,12.124
12342.921835356543,6.621,3.755,12.043
12410.241550624261,6.797,3.831,12.147
12485.32795253078,6.517,3.655,12.089
12544.102415506246,6.001,3.349,12.194
